trip_id,load_id,driver_id,truck_id,actual_miles,fuel_gallons,actual_mpg,departure_time,arrival_time,on_time_flag,customer_id,route_id,load_date,freight_type,weight_lbs,revenue,fuel_surcharge,load_status,origin_city,origin_state,destination_city,destination_state,distance_miles,base_rate_per_mile,customer_name,city,state,industry,payment_terms_days,account_status,fuel_cost,fuel_gallons_purchased,avg_price_per_gal,month,total_revenue,rev_per_mile,net_margin,net_margin_per_mile,direction
TRIP-000001,LOAD-00001,DRV-01,TRK-01,797,151.81,5.25,2024-07-02 04:00:00,2024-07-02 20:24:43.025223,Y,CUST-03,RTE-03,2024-07-02,Refrigerated - Produce,38839,2396.18,136.74,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,607.09,151.81,3.999,2024-07,2532.92,3.1780677540777917,1925.83,2.4163488080301128,southbound
TRIP-000002,LOAD-00002,DRV-01,TRK-01,785,144.57,5.43,2024-07-08 06:05:00,2024-07-08 22:15:00.270849,Y,CUST-02,RTE-02,2024-07-08,Refrigerated - Seafood,39273,2353.54,156.81,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,571.8399999999999,144.57,3.9555,2024-07,2510.35,3.1978980891719746,1938.51,2.46943949044586,southbound
TRIP-000003,LOAD-00003,DRV-01,TRK-01,823,152.69,5.39,2024-07-09 06:05:00,2024-07-09 23:07:46.063057,Y,CUST-06,RTE-07,2024-07-09,Refrigerated - Backhaul Mixed,15750,1240.69,137.22,delivered,Oakland,CA,Burlington,WA,805,1.55,Evergreen Freight Match,Portland,OR,Brokerage,30,active,607.71,152.69,3.98,2024-07,1377.91,1.6742527339003646,770.2,0.9358444714459295,northbound_backhaul
TRIP-000004,LOAD-00004,DRV-02,TRK-02,796,115.2,6.91,2024-07-06 05:30:00,2024-07-06 20:30:09.724952,Y,CUST-02,RTE-02,2024-07-06,Refrigerated - Seafood,41786,2319.58,145.64,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,469.79,115.2,4.078,2024-07,2465.22,3.097010050251256,1995.4299999999998,2.506821608040201,southbound
TRIP-000005,LOAD-00005,DRV-02,TRK-02,821,120.03,6.84,2024-07-06 05:15:00,2024-07-06 20:53:49.402016,Y,CUST-03,RTE-03,2024-07-06,Refrigerated - Produce,43266,2389.09,179.91,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,482.88,120.03,4.023,2024-07,2569.0,3.1291108404384897,2086.12,2.5409500609013396,southbound
TRIP-000006,LOAD-00006,DRV-02,TRK-02,838,122.34,6.85,2024-07-08 05:05:00,2024-07-08 21:48:47.275056,Y,CUST-06,RTE-07,2024-07-08,Refrigerated - Backhaul Mixed,24763,1246.63,111.47,delivered,Oakland,CA,Burlington,WA,805,1.55,Evergreen Freight Match,Portland,OR,Brokerage,30,active,479.57,122.34,3.92,2024-07,1358.1000000000001,1.6206443914081148,878.5300000000002,1.0483651551312652,northbound_backhaul
TRIP-000007,LOAD-00007,DRV-01,TRK-01,798,148.05,5.39,2024-07-09 06:50:00,2024-07-09 22:16:56.408030,Y,CUST-03,RTE-03,2024-07-09,Refrigerated - Produce,42158,2555.83,211.44,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,593.38,148.05,4.008,2024-07,2767.27,3.4677568922305766,2173.89,2.724172932330827,southbound
TRIP-000008,LOAD-00008,DRV-01,TRK-01,797,159.72,4.99,2024-07-15 07:05:00,2024-07-15 21:52:43.625075,Y,CUST-03,RTE-03,2024-07-15,Refrigerated - Produce,42647,2394.98,148.9,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,617.16,159.72,3.864,2024-07,2543.88,3.191819322459222,1926.7200000000003,2.4174654956085324,southbound
TRIP-000009,LOAD-00009,DRV-01,TRK-01,784,147.65,5.31,2024-07-12 07:30:00,2024-07-12 22:59:07.146315,Y,CUST-02,RTE-02,2024-07-12,Refrigerated - Seafood,43651,2401.33,205.37,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,564.76,147.65,3.825,2024-07,2606.7,3.3248724489795918,2041.9399999999998,2.604515306122449,southbound
TRIP-000010,LOAD-00010,DRV-01,TRK-01,847,168.73,5.02,2024-07-13 08:15:00,2024-07-14 01:27:11.045097,Y,CUST-05,RTE-05,2024-07-13,Refrigerated - Backhaul Mixed,20413,1165.7,84.06,delivered,Oakland,CA,Mount Vernon,WA,815,1.65,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,685.04,168.73,4.06,2024-07,1249.76,1.4755135773317591,564.72,0.6667296340023613,northbound_backhaul
TRIP-000011,LOAD-00011,DRV-02,TRK-02,799,114.14,7.0,2024-07-12 04:05:00,2024-07-12 20:36:14.387293,Y,CUST-02,RTE-02,2024-07-12,Refrigerated - Seafood,40902,2228.49,194.1,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,438.98,114.14,3.846,2024-07,2422.5899999999997,3.032027534418022,1983.6099999999997,2.48261576971214,southbound
TRIP-000012,LOAD-00012,DRV-02,TRK-02,257,35.16,7.31,2024-07-12 05:10:00,2024-07-12 10:15:43.136436,Y,CUST-01,RTE-01,2024-07-12,Refrigerated - Produce,38120,714.73,77.97,delivered,Mount Vernon,WA,Portland,OR,260,2.85,Skagit Valley Produce,Mount Vernon,WA,Produce,30,active,144.4,35.16,4.107,2024-07,792.7,3.08443579766537,648.3000000000001,2.5225680933852144,southbound
TRIP-000013,LOAD-00013,DRV-02,TRK-02,309,45.37,6.81,2024-07-14 06:00:00,2024-07-14 12:14:44.045721,Y,CUST-06,RTE-06,2024-07-14,Refrigerated - Backhaul Mixed,27834,501.77,58.72,delivered,Portland,OR,Bellingham,WA,300,1.75,Evergreen Freight Match,Portland,OR,Brokerage,30,active,178.98,45.37,3.945,2024-07,560.49,1.813883495145631,381.51,1.2346601941747573,northbound_backhaul
TRIP-000014,LOAD-00014,DRV-02,TRK-02,267,38.2,6.99,2024-07-13 05:00:00,2024-07-13 10:09:46.020332,Y,CUST-01,RTE-01,2024-07-13,Refrigerated - Produce,38556,768.14,41.67,delivered,Mount Vernon,WA,Portland,OR,260,2.85,Skagit Valley Produce,Mount Vernon,WA,Produce,30,active,152.04,38.2,3.98,2024-07,809.81,3.0329962546816476,657.77,2.4635580524344567,southbound
TRIP-000015,LOAD-00015,DRV-02,TRK-02,304,45.31,6.71,2024-07-15 05:05:00,2024-07-15 11:15:32.241166,Y,CUST-06,RTE-06,2024-07-15,Refrigerated - Backhaul Mixed,22491,463.43,49.37,delivered,Portland,OR,Bellingham,WA,300,1.75,Evergreen Freight Match,Portland,OR,Brokerage,30,active,174.22,45.31,3.845,2024-07,512.8,1.6868421052631577,338.5799999999999,1.1137499999999998,northbound_backhaul
TRIP-000016,LOAD-00016,DRV-01,TRK-01,258,47.6,5.42,2024-07-20 05:20:00,2024-07-20 10:37:54.777968,Y,CUST-01,RTE-01,2024-07-20,Refrigerated - Produce,43434,755.9,60.63,delivered,Mount Vernon,WA,Portland,OR,260,2.85,Skagit Valley Produce,Mount Vernon,WA,Produce,30,active,187.35,47.6,3.936,2024-07,816.53,3.16484496124031,629.18,2.4386821705426356,southbound
TRIP-000017,LOAD-00017,DRV-01,TRK-01,810,155.17,5.22,2024-07-21 07:00:00,2024-07-22 00:36:02.000615,Y,CUST-06,RTE-07,2024-07-21,Refrigerated - Backhaul Mixed,29879,1218.24,100.72,delivered,Oakland,CA,Burlington,WA,805,1.55,Evergreen Freight Match,Portland,OR,Brokerage,30,active,613.7,155.17,3.955,2024-07,1318.96,1.6283456790123456,705.26,0.8706913580246913,northbound_backhaul
TRIP-000018,LOAD-00018,DRV-01,TRK-01,781,151.36,5.16,2024-07-16 04:20:00,2024-07-16 19:53:41.461162,N,CUST-02,RTE-02,2024-07-16,Refrigerated - Seafood,42771,2321.95,214.65,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,606.5,151.36,4.007,2024-07,2536.6,3.2478873239436616,1930.1,2.471318822023047,southbound
TRIP-000019,LOAD-00019,DRV-01,TRK-01,326,66.4,4.91,2024-07-17 07:40:00,2024-07-17 14:04:56.264957,N,CUST-05,RTE-06,2024-07-17,Refrigerated - Backhaul Mixed,17662,567.76,37.1,delivered,Portland,OR,Bellingham,WA,300,1.75,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,265.27,66.4,3.995,2024-07,604.86,1.855398773006135,339.59000000000003,1.0416871165644173,northbound_backhaul
TRIP-000020,LOAD-00020,DRV-01,TRK-01,816,164.52,4.96,2024-07-22 05:40:00,2024-07-22 21:59:47.776233,N,CUST-04,RTE-04,2024-07-22,Refrigerated - Mixed,39864,2088.03,221.2,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,658.83,164.52,4.0045,2024-07,2309.23,2.829938725490196,1650.4,2.022549019607843,southbound
TRIP-000021,LOAD-00021,DRV-02,TRK-02,778,109.42,7.11,2024-07-18 06:30:00,2024-07-18 21:52:11.698167,N,CUST-02,RTE-02,2024-07-18,Refrigerated - Seafood,38313,2329.19,232.08,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,431.44,109.42,3.943,2024-07,2561.27,3.292120822622108,2129.83,2.7375706940874034,southbound
TRIP-000022,LOAD-00022,DRV-02,TRK-02,844,122.5,6.89,2024-07-20 05:20:00,2024-07-20 22:32:34.130382,Y,CUST-05,RTE-07,2024-07-20,Refrigerated - Backhaul Mixed,25882,1174.2,86.13,delivered,Oakland,CA,Burlington,WA,805,1.55,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,483.88,122.5,3.95,2024-07,1260.33,1.4932819905213268,776.4499999999999,0.9199644549763032,northbound_backhaul
TRIP-000023,LOAD-00023,DRV-02,TRK-02,821,117.45,6.99,2024-07-21 04:20:00,2024-07-21 20:50:43.119215,Y,CUST-04,RTE-04,2024-07-21,Refrigerated - Mixed,43042,2150.14,231.19,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,467.03999999999996,117.44999999999999,3.9764999999999997,2024-07,2381.33,2.9005237515225333,1914.29,2.3316565164433616,southbound
TRIP-000024,LOAD-00024,DRV-02,TRK-02,819,114.07,7.18,2024-07-23 06:00:00,2024-07-23 23:41:51.606493,N,CUST-06,RTE-07,2024-07-23,Refrigerated - Backhaul Mixed,18848,1089.72,157.14,delivered,Oakland,CA,Burlington,WA,805,1.55,Evergreen Freight Match,Portland,OR,Brokerage,30,active,459.82,114.07,4.031,2024-07,1246.8600000000001,1.5224175824175825,787.0400000000002,0.9609768009768012,northbound_backhaul
TRIP-000025,LOAD-00025,DRV-02,TRK-02,787,115.06,6.84,2024-07-20 04:05:00,2024-07-20 19:01:30.998622,Y,CUST-02,RTE-02,2024-07-20,Refrigerated - Seafood,41273,2357.72,161.93,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,449.3,115.06,3.9050000000000002,2024-07,2519.6499999999996,3.201588310038119,2070.3499999999995,2.630686149936467,southbound
TRIP-000026,LOAD-00026,DRV-01,TRK-01,830,163.39,5.08,2024-07-29 05:20:00,2024-07-29 21:06:51.611327,Y,CUST-04,RTE-04,2024-07-29,Refrigerated - Mixed,41888,2191.82,211.85,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,627.91,163.39,3.843,2024-07,2403.67,2.895987951807229,1775.7600000000002,2.1394698795180727,southbound
TRIP-000027,LOAD-00027,DRV-01,TRK-01,313,63.49,4.93,2024-07-30 08:30:00,2024-07-30 14:51:16.555577,Y,CUST-05,RTE-06,2024-07-30,Refrigerated - Backhaul Mixed,26369,464.41,36.94,delivered,Portland,OR,Bellingham,WA,300,1.75,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,246.47,63.49,3.882,2024-07,501.35,1.6017571884984025,254.88000000000002,0.8143130990415336,northbound_backhaul
TRIP-000028,LOAD-00028,DRV-01,TRK-01,278,53.26,5.22,2024-07-26 05:45:00,2024-07-26 11:23:13.398662,Y,CUST-01,RTE-01,2024-07-26,Refrigerated - Produce,41194,774.23,50.65,delivered,Mount Vernon,WA,Portland,OR,260,2.85,Skagit Valley Produce,Mount Vernon,WA,Produce,30,active,203.67,53.26,3.824,2024-07,824.88,2.9671942446043165,621.21,2.234568345323741,southbound
TRIP-000029,LOAD-00029,DRV-01,TRK-01,337,65.06,5.18,2024-07-28 05:05:00,2024-07-28 11:50:33.839146,Y,CUST-05,RTE-06,2024-07-28,Refrigerated - Backhaul Mixed,29859,574.97,46.02,delivered,Portland,OR,Bellingham,WA,300,1.75,Pacific Coast Load Board Spot,Oakland,CA,Brokerage,30,active,252.63,65.06,3.883,2024-07,620.99,1.842700296735905,368.36,1.0930563798219586,northbound_backhaul
TRIP-000030,LOAD-00030,DRV-01,TRK-01,797,153.56,5.19,2024-07-26 04:30:00,2024-07-26 20:39:05.316404,Y,CUST-03,RTE-03,2024-07-26,Refrigerated - Produce,40066,2507.54,219.83,delivered,Burlington,WA,Oakland,CA,800,3.05,Cascade Berry Growers,Burlington,WA,Produce,15,active,628.98,153.56,4.096,2024-07,2727.37,3.4220451693851945,2098.39,2.6328607277289837,southbound
TRIP-000031,LOAD-00031,DRV-01,TRK-01,831,157.39,5.28,2024-07-28 06:05:00,2024-07-28 22:29:04.638194,Y,CUST-06,RTE-05,2024-07-28,Refrigerated - Backhaul Mixed,18571,1368.1,127.46,delivered,Oakland,CA,Mount Vernon,WA,815,1.65,Evergreen Freight Match,Portland,OR,Brokerage,30,active,618.7,157.39,3.931,2024-07,1495.56,1.79971119133574,876.8599999999999,1.0551865222623344,northbound_backhaul
TRIP-000032,LOAD-00032,DRV-02,TRK-02,787,115.57,6.81,2024-07-28 06:05:00,2024-07-28 20:59:42.105791,Y,CUST-02,RTE-02,2024-07-28,Refrigerated - Seafood,43138,2224.7,197.8,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,452.57,115.57,3.916,2024-07,2422.5,3.0781448538754765,1969.93,2.5030876747141044,southbound
TRIP-000033,LOAD-00033,DRV-02,TRK-02,309,44.4,6.96,2024-07-30 07:50:00,2024-07-30 13:56:03.420530,Y,CUST-06,RTE-06,2024-07-30,Refrigerated - Backhaul Mixed,25413,460.1,58.82,delivered,Portland,OR,Bellingham,WA,300,1.75,Evergreen Freight Match,Portland,OR,Brokerage,30,active,180.18,44.4,4.058,2024-07,518.9200000000001,1.6793527508090618,338.74000000000007,1.096245954692557,northbound_backhaul
TRIP-000034,LOAD-00034,DRV-02,TRK-02,796,114.53,6.95,2024-07-26 07:30:00,2024-07-26 23:42:53.178691,Y,CUST-02,RTE-02,2024-07-26,Refrigerated - Seafood,43473,2364.38,183.67,delivered,Bellingham,WA,Oakland,CA,780,2.95,Bellingham Cold Storage,Bellingham,WA,Seafood,30,active,460.93,114.53,4.0245,2024-07,2548.05,3.20106783919598,2087.1200000000003,2.622010050251257,southbound
TRIP-000035,LOAD-00035,DRV-02,TRK-02,328,45.68,7.18,2024-07-28 05:20:00,2024-07-28 12:15:48.458022,Y,CUST-06,RTE-06,2024-07-28,Refrigerated - Backhaul Mixed,22800,519.12,37.21,delivered,Portland,OR,Bellingham,WA,300,1.75,Evergreen Freight Match,Portland,OR,Brokerage,30,active,179.57,45.68,3.931,2024-07,556.33,1.696128048780488,376.76000000000005,1.148658536585366,northbound_backhaul
TRIP-000036,LOAD-00036,DRV-02,TRK-02,814,117.29,6.94,2024-07-25 05:15:00,2024-07-25 21:45:42.202551,Y,CUST-04,RTE-04,2024-07-25,Refrigerated - Mixed,38988,2073.11,152.05,delivered,Mount Vernon,WA,Oakland,CA,810,2.6,Golden Gate Fresh Distributors,Oakland,CA,Distribution,45,active,467.81,117.28999999999999,3.9885,2024-07,2225.1600000000003,2.733611793611794,1757.3500000000004,2.1589066339066343,southbound
