month,loads,revenue
2024-07,101,43366.68
2024-08,161,69146.65
2024-09,133,55952.08
2024-10,144,63915.55
2024-11,119,51074.34
2024-12,145,62821.5
2025-01,128,55500.61
2025-02,134,53102.68
2025-03,131,57201.19
2025-04,138,61176.58
2025-05,140,62518.02
2025-06,121,51025.63
2025-07,144,59249.69
2025-08,130,54636.51
2025-09,129,54926.3
2025-10,136,54445.93
2025-11,111,46982.02
2025-12,142,62141.71
2026-01,155,65145.479999999996
2026-02,121,49810.17
2026-03,135,61384.02
2026-04,141,62520.44
2026-05,142,60100.18
2026-06,139,62371.82
2026-07,9,3767.74
