event_id,load_id,trip_id,facility_type,scheduled_time,actual_time,detention_minutes,on_time
EVT-000001,LD-000001,TRP-000001,delivery,2024-07-03 05:00:00.178690,2024-07-03 05:52:00.178690,44,False
EVT-000002,LD-000002,TRP-000002,delivery,2024-07-03 09:00:00.411040,2024-07-03 08:59:00.411040,3,True
EVT-000003,LD-000003,TRP-000003,delivery,2024-07-03 05:00:00.694101,2024-07-03 05:23:00.694101,14,True
EVT-000004,LD-000004,TRP-000004,delivery,2024-07-03 13:00:00.821042,2024-07-03 13:12:00.821042,7,True
EVT-000005,LD-000005,TRP-000005,delivery,2024-07-03 15:00:00.460393,2024-07-03 16:10:00.460393,58,False
EVT-000006,LD-000006,TRP-000006,delivery,2024-07-04 07:00:00.289461,2024-07-04 07:24:00.289461,17,True
EVT-000007,LD-000007,TRP-000007,delivery,2024-07-04 11:00:00.329984,2024-07-04 11:23:00.329984,8,True
EVT-000008,LD-000008,TRP-000008,delivery,2024-07-04 10:00:00.503855,2024-07-04 10:12:00.503855,10,True
EVT-000009,LD-000009,TRP-000009,delivery,2024-07-04 09:00:00.118515,2024-07-04 09:19:00.118515,18,True
EVT-000010,LD-000010,TRP-000010,delivery,2024-07-05 08:00:00.202196,2024-07-05 08:12:00.202196,7,True
EVT-000011,LD-000011,TRP-000011,delivery,2024-07-05 10:00:00.508304,2024-07-05 10:18:00.508304,3,False
EVT-000012,LD-000012,TRP-000012,delivery,2024-07-05 12:00:00.218321,2024-07-05 12:47:00.218321,51,False
EVT-000013,LD-000013,TRP-000013,delivery,2024-07-05 07:00:00.417194,2024-07-05 07:20:00.417194,8,True
EVT-000014,LD-000014,TRP-000014,delivery,2024-07-06 11:00:00.935394,2024-07-06 11:17:00.935394,3,True
EVT-000015,LD-000015,TRP-000015,delivery,2024-07-06 09:00:00.711812,2024-07-06 09:14:00.711812,9,False
EVT-000016,LD-000016,TRP-000016,delivery,2024-07-06 12:00:00.268249,2024-07-06 12:52:00.268249,40,False
EVT-000017,LD-000017,TRP-000017,delivery,2024-07-06 11:00:00.409508,2024-07-06 11:16:00.409508,19,True
EVT-000018,LD-000018,TRP-000018,delivery,2024-07-06 13:00:00.092668,2024-07-06 13:17:00.092668,5,True
EVT-000019,LD-000019,TRP-000019,delivery,2024-07-08 11:00:00.471235,2024-07-08 11:21:00.471235,19,True
EVT-000020,LD-000020,TRP-000020,delivery,2024-07-08 08:00:00.346903,2024-07-08 08:19:00.346903,9,True
EVT-000021,LD-000021,TRP-000021,delivery,2024-07-08 11:00:00.693879,2024-07-08 11:16:00.693879,13,True
EVT-000022,LD-000022,TRP-000022,delivery,2024-07-08 10:00:00.811738,2024-07-08 10:16:00.811738,10,True
EVT-000023,LD-000023,TRP-000023,delivery,2024-07-08 11:00:00.152895,2024-07-08 11:19:00.152895,7,True
EVT-000024,LD-000024,TRP-000024,delivery,2024-07-09 09:00:00.744380,2024-07-09 09:05:00.744380,8,True
EVT-000025,LD-000025,TRP-000025,delivery,2024-07-09 11:00:00.647268,2024-07-09 11:03:00.647268,8,True
EVT-000026,LD-000026,TRP-000026,delivery,2024-07-09 08:00:00.980506,2024-07-09 09:00:00.980506,51,False
EVT-000027,LD-000027,TRP-000027,delivery,2024-07-09 10:00:00.040610,2024-07-09 10:23:00.040610,11,True
EVT-000028,LD-000028,TRP-000028,delivery,2024-07-10 14:00:00.466127,2024-07-10 14:10:00.466127,15,False
EVT-000029,LD-000029,TRP-000029,delivery,2024-07-10 13:00:00.523782,2024-07-10 13:11:00.523782,16,True
EVT-000030,LD-000030,TRP-000030,delivery,2024-07-10 11:00:00.039493,2024-07-10 11:02:00.039493,7,True
EVT-000031,LD-000031,TRP-000031,delivery,2024-07-11 13:00:00.079139,2024-07-11 13:25:00.079139,11,False
EVT-000032,LD-000032,TRP-000032,delivery,2024-07-11 12:00:00.775081,2024-07-11 12:11:00.775081,7,True
EVT-000033,LD-000033,TRP-000033,delivery,2024-07-12 09:00:00.061847,2024-07-12 09:48:00.061847,33,False
EVT-000034,LD-000034,TRP-000034,delivery,2024-07-12 12:00:00.715894,2024-07-12 12:09:00.715894,14,True
EVT-000035,LD-000035,TRP-000035,delivery,2024-07-12 09:00:00.178765,2024-07-12 09:17:00.178765,7,True
EVT-000036,LD-000036,TRP-000036,delivery,2024-07-12 13:00:00.337234,2024-07-12 13:12:00.337234,9,True
EVT-000037,LD-000037,TRP-000037,delivery,2024-07-12 09:00:00.527807,2024-07-12 09:19:00.527807,13,True
EVT-000038,LD-000038,TRP-000038,delivery,2024-07-13 06:00:00.580929,2024-07-13 06:07:00.580929,7,False
EVT-000039,LD-000039,TRP-000039,delivery,2024-07-13 10:00:00.240256,2024-07-13 10:20:00.240256,11,True
EVT-000040,LD-000040,TRP-000040,delivery,2024-07-15 05:00:00.959137,2024-07-15 05:10:00.959137,6,True
EVT-000041,LD-000041,TRP-000041,delivery,2024-07-15 08:00:00.406922,2024-07-15 08:17:00.406922,13,True
EVT-000042,LD-000042,TRP-000042,delivery,2024-07-15 06:00:00.238705,2024-07-15 06:07:00.238705,12,True
EVT-000043,LD-000043,TRP-000043,delivery,2024-07-15 11:00:00.220359,2024-07-15 11:05:00.220359,7,True
EVT-000044,LD-000044,TRP-000044,delivery,2024-07-16 11:00:00.172130,2024-07-16 11:21:00.172130,13,True
EVT-000045,LD-000045,TRP-000045,delivery,2024-07-16 05:00:00.062163,2024-07-16 05:18:00.062163,10,True
EVT-000046,LD-000046,TRP-000046,delivery,2024-07-16 08:00:00.477218,2024-07-16 08:46:00.477218,49,False
EVT-000047,LD-000047,TRP-000047,delivery,2024-07-16 13:00:00.060675,2024-07-16 13:07:00.060675,6,False
EVT-000048,LD-000048,TRP-000048,delivery,2024-07-17 14:00:00.218463,2024-07-17 14:10:00.218463,12,True
EVT-000049,LD-000049,TRP-000049,delivery,2024-07-17 11:00:00.973168,2024-07-17 11:23:00.973168,16,False
EVT-000050,LD-000050,TRP-000050,delivery,2024-07-17 08:00:00.746620,2024-07-17 07:58:00.746620,3,True
EVT-000051,LD-000051,TRP-000051,delivery,2024-07-17 06:00:00.842486,2024-07-17 06:58:00.842486,49,False
EVT-000052,LD-000052,TRP-000052,delivery,2024-07-18 07:00:00.029012,2024-07-18 08:00:00.029012,62,False
EVT-000053,LD-000053,TRP-000053,delivery,2024-07-18 12:00:00.900192,2024-07-18 12:18:00.900192,16,True
EVT-000054,LD-000054,TRP-000054,delivery,2024-07-18 15:00:00.184877,2024-07-18 15:00:00.184877,1,True
EVT-000055,LD-000055,TRP-000055,delivery,2024-07-18 10:00:00.271501,2024-07-18 10:08:00.271501,10,True
EVT-000056,LD-000056,TRP-000056,delivery,2024-07-19 09:00:00.938382,2024-07-19 09:16:00.938382,6,True
EVT-000057,LD-000057,TRP-000057,delivery,2024-07-19 05:00:00.016977,2024-07-19 05:19:00.016977,7,True
EVT-000058,LD-000058,TRP-000058,delivery,2024-07-20 09:00:00.281779,2024-07-20 09:10:00.281779,14,True
EVT-000059,LD-000059,TRP-000059,delivery,2024-07-20 08:00:00.979110,2024-07-20 08:05:00.979110,3,True
EVT-000060,LD-000060,TRP-000060,delivery,2024-07-20 07:00:00.005052,2024-07-20 07:09:00.005052,6,True
EVT-000061,LD-000061,TRP-000061,delivery,2024-07-20 11:00:00.225783,2024-07-20 10:56:00.225783,0,False
EVT-000062,LD-000062,TRP-000062,delivery,2024-07-20 11:00:00.925537,2024-07-20 11:23:00.925537,14,True
EVT-000063,LD-000063,TRP-000063,delivery,2024-07-20 09:00:00.459026,2024-07-20 09:05:00.459026,8,True
EVT-000064,LD-000064,TRP-000064,delivery,2024-07-22 10:00:00.995964,2024-07-22 10:11:00.995964,5,True
EVT-000065,LD-000065,TRP-000065,delivery,2024-07-22 07:00:00.555290,2024-07-22 07:08:00.555290,5,True
EVT-000066,LD-000066,TRP-000066,delivery,2024-07-22 08:00:00.699300,2024-07-22 08:06:00.699300,6,True
EVT-000067,LD-000067,TRP-000067,delivery,2024-07-23 09:00:00.090339,2024-07-23 09:20:00.090339,7,True
EVT-000068,LD-000068,TRP-000068,delivery,2024-07-23 09:00:00.782960,2024-07-23 09:11:00.782960,12,True
EVT-000069,LD-000069,TRP-000069,delivery,2024-07-23 11:00:00.490249,2024-07-23 11:00:00.490249,0,True
EVT-000070,LD-000070,TRP-000070,delivery,2024-07-23 08:00:00.112632,2024-07-23 08:29:00.112632,18,True
EVT-000071,LD-000071,TRP-000071,delivery,2024-07-23 10:00:00.462536,2024-07-23 10:21:00.462536,6,True
EVT-000072,LD-000072,TRP-000072,delivery,2024-07-23 09:00:00.880157,2024-07-23 08:58:00.880157,1,True
EVT-000073,LD-000073,TRP-000073,delivery,2024-07-24 06:00:00.678503,2024-07-24 06:43:00.678503,41,False
EVT-000074,LD-000074,TRP-000074,delivery,2024-07-24 13:00:00.673605,2024-07-24 13:14:00.673605,10,True
EVT-000075,LD-000075,TRP-000075,delivery,2024-07-24 11:00:00.463170,2024-07-24 11:24:00.463170,13,True
EVT-000076,LD-000076,TRP-000076,delivery,2024-07-24 08:00:00.296749,2024-07-24 08:09:00.296749,4,True
EVT-000077,LD-000077,TRP-000077,delivery,2024-07-24 05:00:00.917254,2024-07-24 05:13:00.917254,11,True
EVT-000078,LD-000078,TRP-000078,delivery,2024-07-24 13:00:00.445893,2024-07-24 13:05:00.445893,2,True
EVT-000079,LD-000079,TRP-000079,delivery,2024-07-24 12:00:00.947044,2024-07-24 12:22:00.947044,15,True
EVT-000080,LD-000080,TRP-000080,delivery,2024-07-24 08:00:00.407763,2024-07-24 08:18:00.407763,8,True
EVT-000081,LD-000081,TRP-000081,delivery,2024-07-25 10:00:00.146816,2024-07-25 11:15:00.146816,65,False
EVT-000082,LD-000082,TRP-000082,delivery,2024-07-25 05:00:00.536094,2024-07-25 05:21:00.536094,14,True
EVT-000083,LD-000083,TRP-000083,delivery,2024-07-26 15:00:00.508801,2024-07-26 15:24:00.508801,14,True
EVT-000084,LD-000084,TRP-000084,delivery,2024-07-26 11:00:00.156213,2024-07-26 11:08:00.156213,4,True
EVT-000085,LD-000085,TRP-000085,delivery,2024-07-27 08:00:00.693826,2024-07-27 08:10:00.693826,13,True
EVT-000086,LD-000086,TRP-000086,delivery,2024-07-27 10:00:00.322396,2024-07-27 10:06:00.322396,3,True
EVT-000087,LD-000087,TRP-000087,delivery,2024-07-27 12:00:00.697539,2024-07-27 12:52:00.697539,38,False
EVT-000088,LD-000088,TRP-000088,delivery,2024-07-27 08:00:00.025727,2024-07-27 08:18:00.025727,15,True
EVT-000089,LD-000089,TRP-000089,delivery,2024-07-27 12:00:00.504045,2024-07-27 12:19:00.504045,7,True
EVT-000090,LD-000090,TRP-000090,delivery,2024-07-27 11:00:00.385165,2024-07-27 11:18:00.385165,4,True
EVT-000091,LD-000091,TRP-000091,delivery,2024-07-29 11:00:00.253379,2024-07-29 11:22:00.253379,11,False
EVT-000092,LD-000092,TRP-000092,delivery,2024-07-29 12:00:00.914262,2024-07-29 12:41:00.914262,42,False
EVT-000093,LD-000093,TRP-000093,delivery,2024-07-29 11:00:00.722922,2024-07-29 11:34:00.722922,21,True
EVT-000094,LD-000094,TRP-000094,delivery,2024-07-29 12:00:00.513676,2024-07-29 12:24:00.513676,16,True
EVT-000095,LD-000095,TRP-000095,delivery,2024-07-30 05:00:00.271977,2024-07-30 05:21:00.271977,14,True
EVT-000096,LD-000096,TRP-000096,delivery,2024-07-30 13:00:00.393507,2024-07-30 13:15:00.393507,13,True
EVT-000097,LD-000097,TRP-000097,delivery,2024-07-30 09:00:00.346653,2024-07-30 09:20:00.346653,7,True
EVT-000098,LD-000098,TRP-000098,delivery,2024-07-31 09:00:00.576255,2024-07-31 09:13:00.576255,14,True
EVT-000099,LD-000099,TRP-000099,delivery,2024-07-31 09:00:00.804559,2024-07-31 09:17:00.804559,6,True
EVT-000100,LD-000100,TRP-000100,delivery,2024-07-31 13:00:00.288401,2024-07-31 13:03:00.288401,7,True
EVT-000101,LD-000101,TRP-000101,delivery,2024-07-31 11:00:00.448572,2024-07-31 11:12:00.448572,16,True
EVT-000102,LD-000102,TRP-000102,delivery,2024-08-01 11:00:00.642832,2024-08-01 11:07:00.642832,5,True
EVT-000103,LD-000103,TRP-000103,delivery,2024-08-01 14:00:00.956837,2024-08-01 14:15:00.956837,16,True
EVT-000104,LD-000104,TRP-000104,delivery,2024-08-01 14:00:00.750418,2024-08-01 13:56:00.750418,0,True
EVT-000105,LD-000105,TRP-000105,delivery,2024-08-01 10:00:00.495293,2024-08-01 10:11:00.495293,7,True
EVT-000106,LD-000106,TRP-000106,delivery,2024-08-01 08:00:00.429817,2024-08-01 08:07:00.429817,11,True
EVT-000107,LD-000107,TRP-000107,delivery,2024-08-02 07:00:00.087710,2024-08-02 07:52:00.087710,47,False
EVT-000108,LD-000108,TRP-000108,delivery,2024-08-02 12:00:00.257573,2024-08-02 12:13:00.257573,10,False
EVT-000109,LD-000109,TRP-000109,delivery,2024-08-02 15:00:00.384368,2024-08-02 15:07:00.384368,8,True
EVT-000110,LD-000110,TRP-000110,delivery,2024-08-02 09:00:00.922160,2024-08-02 09:09:00.922160,13,True
EVT-000111,LD-000111,TRP-000111,delivery,2024-08-02 09:00:00.393514,2024-08-02 09:09:00.393514,5,True
EVT-000112,LD-000112,TRP-000112,delivery,2024-08-03 12:00:00.099734,2024-08-03 12:48:00.099734,42,False
EVT-000113,LD-000113,TRP-000113,delivery,2024-08-03 11:00:00.109332,2024-08-03 11:20:00.109332,11,True
EVT-000114,LD-000114,TRP-000114,delivery,2024-08-03 10:00:00.395248,2024-08-03 10:01:00.395248,0,True
