purchase_id,trip_id,truck_id,driver_id,purchase_date,gallons,price_per_gallon,total_cost,location
FUEL-000001,TRP-000001,TRK-008,DRV-009,2024-07-03,10.99,3.708,40.75,"Oklahoma City, OK"
FUEL-000002,TRP-000002,TRK-004,DRV-005,2024-07-03,22.35,3.954,88.37,"Little Rock, AR"
FUEL-000003,TRP-000003,TRK-007,DRV-014,2024-07-03,11.59,3.996,46.31,"Oklahoma City, OK"
FUEL-000004,TRP-000004,TRK-010,DRV-011,2024-07-03,36.77,3.781,139.03,"Oklahoma City, OK"
FUEL-000005,TRP-000005,TRK-008,DRV-010,2024-07-03,42.1,3.838,161.58,"Little Rock, AR"
FUEL-000006,TRP-000006,TRK-005,DRV-002,2024-07-04,10.67,3.88,41.4,"Dallas, TX"
FUEL-000007,TRP-000007,TRK-006,DRV-011,2024-07-04,54.23,3.917,212.42,"Tulsa, OK"
FUEL-000008,TRP-000008,TRK-008,DRV-009,2024-07-04,24.66,3.996,98.54,"Little Rock, AR"
FUEL-000009,TRP-000009,TRK-005,DRV-003,2024-07-04,10.92,3.828,41.8,"Oklahoma City, OK"
FUEL-000010,TRP-000010,TRK-001,DRV-001,2024-07-05,25.68,3.77,96.81,"Joplin, MO"
FUEL-000011,TRP-000011,TRK-009,DRV-010,2024-07-05,23.37,3.808,88.99,"Dallas, TX"
FUEL-000012,TRP-000012,TRK-006,DRV-009,2024-07-05,53.84,3.834,206.42,"Springfield, MO"
FUEL-000013,TRP-000013,TRK-002,DRV-007,2024-07-05,26.43,3.838,101.44,"Dallas, TX"
FUEL-000014,TRP-000014,TRK-008,DRV-001,2024-07-06,23.92,3.957,94.65,"Springfield, MO"
FUEL-000015,TRP-000015,TRK-001,DRV-011,2024-07-06,24.47,3.782,92.55,"Tulsa, OK"
FUEL-000016,TRP-000016,TRK-006,DRV-006,2024-07-06,52.36,3.913,204.88,"Joplin, MO"
FUEL-000017,TRP-000017,TRK-006,DRV-005,2024-07-06,52.56,3.854,202.57,"Little Rock, AR"
FUEL-000018,TRP-000018,TRK-003,DRV-012,2024-07-06,37.17,3.909,145.3,"Tulsa, OK"
FUEL-000019,TRP-000019,TRK-010,DRV-001,2024-07-08,42.93,3.969,170.39,"Dallas, TX"
FUEL-000020,TRP-000020,TRK-010,DRV-013,2024-07-08,23.8,3.818,90.87,"Joplin, MO"
FUEL-000021,TRP-000021,TRK-006,DRV-005,2024-07-08,51.82,3.998,207.18,"Kansas City, MO"
FUEL-000022,TRP-000022,TRK-005,DRV-009,2024-07-08,35.43,3.859,136.72,"Oklahoma City, OK"
FUEL-000023,TRP-000023,TRK-003,DRV-007,2024-07-08,23.46,3.817,89.55,"Tulsa, OK"
FUEL-000024,TRP-000024,TRK-005,DRV-013,2024-07-09,23.89,3.894,93.03,"Kansas City, MO"
FUEL-000025,TRP-000025,TRK-010,DRV-010,2024-07-09,26.76,3.913,104.71,"Fort Smith, AR"
FUEL-000026,TRP-000026,TRK-005,DRV-009,2024-07-09,10.38,4.0,41.52,"Kansas City, MO"
FUEL-000027,TRP-000027,TRK-003,DRV-004,2024-07-09,11.74,3.727,43.75,"Little Rock, AR"
FUEL-000028,TRP-000028,TRK-006,DRV-001,2024-07-10,53.09,3.878,205.88,"Fort Smith, AR"
FUEL-000029,TRP-000029,TRK-005,DRV-007,2024-07-10,37.09,3.743,138.83,"Joplin, MO"
FUEL-000030,TRP-000030,TRK-006,DRV-006,2024-07-10,50.74,3.955,200.68,"Fort Smith, AR"
FUEL-000031,TRP-000031,TRK-002,DRV-001,2024-07-11,40.5,3.845,155.72,"Little Rock, AR"
FUEL-000032,TRP-000032,TRK-003,DRV-011,2024-07-11,25.55,3.894,99.49,"Springfield, MO"
FUEL-000033,TRP-000033,TRK-006,DRV-001,2024-07-12,52.65,3.955,208.23,"Tulsa, OK"
FUEL-000034,TRP-000034,TRK-003,DRV-004,2024-07-12,42.0,3.907,164.09,"Kansas City, MO"
FUEL-000035,TRP-000035,TRK-003,DRV-010,2024-07-12,40.43,3.922,158.57,"Fort Smith, AR"
FUEL-000036,TRP-000036,TRK-006,DRV-011,2024-07-12,53.94,3.805,205.24,"Fort Smith, AR"
FUEL-000037,TRP-000037,TRK-008,DRV-003,2024-07-12,23.15,3.885,89.94,"Springfield, MO"
FUEL-000038,TRP-000038,TRK-008,DRV-003,2024-07-13,10.77,3.85,41.46,"Kansas City, MO"
FUEL-000039,TRP-000039,TRK-007,DRV-001,2024-07-13,35.99,3.936,141.66,"Oklahoma City, OK"
FUEL-000040,TRP-000040,TRK-001,DRV-004,2024-07-15,11.7,3.796,44.41,"Oklahoma City, OK"
FUEL-000041,TRP-000041,TRK-007,DRV-011,2024-07-15,26.13,3.788,98.98,"Tulsa, OK"
FUEL-000042,TRP-000042,TRK-004,DRV-005,2024-07-15,11.14,3.805,42.39,"Little Rock, AR"
FUEL-000043,TRP-000043,TRK-005,DRV-008,2024-07-15,26.38,3.736,98.56,"Kansas City, MO"
FUEL-000044,TRP-000044,TRK-005,DRV-006,2024-07-16,25.65,3.906,100.19,"Fort Smith, AR"
FUEL-000045,TRP-000045,TRK-006,DRV-005,2024-07-16,14.47,3.781,54.71,"Tulsa, OK"
FUEL-000046,TRP-000046,TRK-005,DRV-005,2024-07-16,11.1,3.766,41.8,"Tulsa, OK"
FUEL-000047,TRP-000047,TRK-008,DRV-014,2024-07-16,35.89,3.812,136.81,"Dallas, TX"
FUEL-000048,TRP-000048,TRK-008,DRV-007,2024-07-17,38.75,3.86,149.57,"Kansas City, MO"
FUEL-000049,TRP-000049,TRK-006,DRV-003,2024-07-17,50.5,3.734,188.57,"Kansas City, MO"
FUEL-000050,TRP-000050,TRK-003,DRV-004,2024-07-17,25.06,3.843,96.31,"Little Rock, AR"
FUEL-000051,TRP-000051,TRK-004,DRV-011,2024-07-17,11.93,3.782,45.12,"Tulsa, OK"
FUEL-000052,TRP-000052,TRK-010,DRV-005,2024-07-18,11.34,3.826,43.39,"Fort Smith, AR"
FUEL-000053,TRP-000053,TRK-010,DRV-011,2024-07-18,26.35,3.892,102.55,"Fort Smith, AR"
FUEL-000054,TRP-000054,TRK-007,DRV-014,2024-07-18,40.26,3.72,149.77,"Kansas City, MO"
FUEL-000055,TRP-000055,TRK-009,DRV-006,2024-07-18,36.26,4.0,145.04,"Little Rock, AR"
FUEL-000056,TRP-000056,TRK-005,DRV-008,2024-07-19,23.35,3.822,89.24,"Oklahoma City, OK"
FUEL-000057,TRP-000057,TRK-008,DRV-011,2024-07-19,11.73,3.781,44.35,"Tulsa, OK"
FUEL-000058,TRP-000058,TRK-003,DRV-012,2024-07-20,24.48,3.822,93.56,"Kansas City, MO"
FUEL-000059,TRP-000059,TRK-007,DRV-001,2024-07-20,24.45,3.941,96.36,"Oklahoma City, OK"
FUEL-000060,TRP-000060,TRK-009,DRV-002,2024-07-20,26.67,3.809,101.59,"Tulsa, OK"
FUEL-000061,TRP-000061,TRK-005,DRV-002,2024-07-20,25.53,3.909,99.8,"Little Rock, AR"
