load_id,customer_id,route_id,load_date,freight_type,weight_lbs,revenue,fuel_surcharge,load_status
LD-000001,CUST-001,ROUTE-09,2024-07-03,roofing supplies,35314,210.57,12.79,delivered
LD-000002,CUST-002,ROUTE-04,2024-07-03,fertilizer,28212,423.91,30.02,delivered
LD-000003,CUST-005,ROUTE-09,2024-07-03,hardware,30582,222.23,23.69,delivered
LD-000004,CUST-003,ROUTE-05,2024-07-03,drywall,39641,597.09,52.88,delivered
LD-000005,CUST-001,ROUTE-02,2024-07-03,lumber,38336,514.1,44.07,delivered
LD-000006,CUST-005,ROUTE-10,2024-07-04,hardware,39861,209.16,26.21,delivered
LD-000007,CUST-004,ROUTE-02,2024-07-04,bagged seed,31753,532.81,69.5,delivered
LD-000008,CUST-006,ROUTE-07,2024-07-04,bagged feed,40252,450.08,42.55,delivered
LD-000009,CUST-005,ROUTE-09,2024-07-04,lumber,43924,229.7,25.92,delivered
LD-000010,CUST-006,ROUTE-08,2024-07-05,grain,44959,416.09,32.93,delivered
LD-000011,CUST-002,ROUTE-04,2024-07-05,grain,35020,412.38,48.62,delivered
LD-000012,CUST-001,ROUTE-01,2024-07-05,hardware,39118,554.97,46.4,delivered
LD-000013,CUST-006,ROUTE-07,2024-07-05,bagged seed,35745,416.83,40.78,delivered
LD-000014,CUST-002,ROUTE-04,2024-07-06,bagged feed,29916,414.47,42.64,delivered
LD-000015,CUST-002,ROUTE-04,2024-07-06,bagged seed,36067,414.46,26.06,delivered
LD-000016,CUST-001,ROUTE-01,2024-07-06,hardware,31276,505.19,52.01,delivered
LD-000017,CUST-003,ROUTE-05,2024-07-06,roofing supplies,36666,589.62,44.57,delivered
LD-000018,CUST-003,ROUTE-05,2024-07-06,lumber,38929,641.7,72.13,delivered
LD-000019,CUST-004,ROUTE-01,2024-07-08,bagged seed,38101,525.13,90.89,delivered
LD-000020,CUST-002,ROUTE-04,2024-07-08,bagged seed,33877,422.75,35.71,delivered
LD-000021,CUST-004,ROUTE-02,2024-07-08,fertilizer,35457,502.22,76.14,delivered
LD-000022,CUST-003,ROUTE-05,2024-07-08,lumber,42239,607.91,79.89,delivered
LD-000023,CUST-006,ROUTE-08,2024-07-08,fertilizer,32083,430.47,34.66,delivered
LD-000024,CUST-002,ROUTE-04,2024-07-09,fertilizer,43236,407.25,47.05,delivered
LD-000025,CUST-002,ROUTE-04,2024-07-09,bagged feed,34525,391.78,26.28,delivered
LD-000026,CUST-001,ROUTE-10,2024-07-09,roofing supplies,33763,225.41,21.69,delivered
LD-000027,CUST-005,ROUTE-10,2024-07-09,hardware,33215,223.73,18.37,delivered
LD-000028,CUST-004,ROUTE-01,2024-07-10,bagged feed,30104,528.57,58.37,delivered
LD-000029,CUST-003,ROUTE-06,2024-07-10,hardware,35226,606.05,53.19,delivered
LD-000030,CUST-004,ROUTE-01,2024-07-10,grain,33954,503.62,60.97,delivered
LD-000031,CUST-003,ROUTE-05,2024-07-11,lumber,29319,640.36,88.38,delivered
LD-000032,CUST-006,ROUTE-07,2024-07-11,bagged feed,38192,413.58,25.6,delivered
LD-000033,CUST-001,ROUTE-01,2024-07-12,drywall,42037,545.45,44.22,delivered
LD-000034,CUST-003,ROUTE-06,2024-07-12,hardware,42272,632.29,69.81,delivered
LD-000035,CUST-003,ROUTE-05,2024-07-12,hardware,34950,608.63,52.43,delivered
LD-000036,CUST-004,ROUTE-02,2024-07-12,bagged seed,31049,506.97,62.34,delivered
LD-000037,CUST-002,ROUTE-03,2024-07-12,bagged feed,38339,406.25,42.43,delivered
LD-000038,CUST-005,ROUTE-09,2024-07-13,drywall,29491,234.17,19.55,delivered
LD-000039,CUST-003,ROUTE-06,2024-07-13,lumber,30141,599.25,42.85,delivered
LD-000040,CUST-005,ROUTE-09,2024-07-15,lumber,34808,224.31,15.22,delivered
LD-000041,CUST-006,ROUTE-08,2024-07-15,bagged seed,35648,441.42,50.75,delivered
LD-000042,CUST-005,ROUTE-10,2024-07-15,hardware,32074,216.09,15.81,delivered
LD-000043,CUST-006,ROUTE-07,2024-07-15,fertilizer,29318,450.11,30.53,delivered
LD-000044,CUST-006,ROUTE-08,2024-07-16,fertilizer,41122,435.5,42.9,delivered
LD-000045,CUST-005,ROUTE-10,2024-07-16,hardware,42484,224.18,14.3,delivered
LD-000046,CUST-001,ROUTE-10,2024-07-16,lumber,33045,216.91,22.0,delivered
LD-000047,CUST-003,ROUTE-06,2024-07-16,drywall,44637,588.87,39.13,delivered
LD-000048,CUST-004,ROUTE-01,2024-07-17,grain,29430,521.95,66.04,delivered
LD-000049,CUST-004,ROUTE-01,2024-07-17,grain,28502,549.62,62.64,delivered
LD-000050,CUST-006,ROUTE-08,2024-07-17,bagged seed,30242,404.46,47.34,delivered
LD-000051,CUST-001,ROUTE-09,2024-07-17,drywall,40282,218.8,14.91,delivered
LD-000052,CUST-001,ROUTE-10,2024-07-18,drywall,33176,205.11,25.43,delivered
LD-000053,CUST-002,ROUTE-04,2024-07-18,fertilizer,37695,436.21,34.49,delivered
LD-000054,CUST-003,ROUTE-05,2024-07-18,roofing supplies,36212,634.28,76.49,delivered
LD-000055,CUST-003,ROUTE-06,2024-07-18,hardware,33755,583.71,79.9,delivered
LD-000056,CUST-002,ROUTE-04,2024-07-19,fertilizer,30959,425.59,25.21,delivered
LD-000057,CUST-005,ROUTE-10,2024-07-19,roofing supplies,30071,220.72,18.21,delivered
LD-000058,CUST-002,ROUTE-04,2024-07-20,bagged seed,44034,416.39,55.74,delivered
LD-000059,CUST-002,ROUTE-03,2024-07-20,grain,31003,435.96,45.93,delivered
LD-000060,CUST-002,ROUTE-03,2024-07-20,fertilizer,32741,453.73,42.58,delivered
LD-000061,CUST-006,ROUTE-08,2024-07-20,bagged seed,30082,417.41,50.42,delivered
LD-000062,CUST-004,ROUTE-02,2024-07-20,bagged seed,44065,534.86,64.45,delivered
LD-000063,CUST-004,ROUTE-01,2024-07-20,bagged seed,35045,529.61,88.46,delivered
LD-000064,CUST-006,ROUTE-08,2024-07-22,bagged feed,29965,423.32,43.28,delivered
LD-000065,CUST-005,ROUTE-09,2024-07-22,roofing supplies,43800,212.97,12.87,delivered
LD-000066,CUST-003,ROUTE-06,2024-07-22,drywall,39502,568.57,84.23,delivered
LD-000067,CUST-005,ROUTE-09,2024-07-23,lumber,33098,211.08,20.52,delivered
LD-000068,CUST-006,ROUTE-08,2024-07-23,bagged seed,35225,413.07,44.53,delivered
