record_id,truck_id,service_date,service_type,cost,downtime_hours,odometer_at_service
MAINT-00001,TRK-001,2025-01-01,alignment,838.85,2.4,198462
MAINT-00002,TRK-001,2025-01-09,transmission service,1828.92,14.3,166949
MAINT-00003,TRK-001,2026-01-16,oil change,816.52,5.8,256669
MAINT-00004,TRK-001,2026-04-24,DOT inspection,473.1,5.0,273106
MAINT-00005,TRK-001,2025-12-14,engine repair,1904.17,23.8,253856
MAINT-00006,TRK-001,2025-02-18,brake service,601.02,5.9,186664
MAINT-00007,TRK-002,2024-11-11,tire replacement,822.53,7.2,122810
MAINT-00008,TRK-002,2025-04-01,brake service,835.63,5.5,137530
MAINT-00009,TRK-002,2026-05-02,brake service,676.72,6.1,199421
MAINT-00010,TRK-002,2026-03-21,coolant system,833.43,4.3,188640
MAINT-00011,TRK-002,2026-04-30,brake service,258.71,3.0,200847
MAINT-00012,TRK-002,2026-01-05,coolant system,271.52,1.1,181984
MAINT-00013,TRK-002,2024-12-08,DOT inspection,775.79,1.1,94003
MAINT-00014,TRK-002,2024-11-08,tire replacement,377.88,2.6,119840
MAINT-00015,TRK-002,2024-11-09,DOT inspection,551.94,6.8,113590
MAINT-00016,TRK-002,2026-04-16,engine repair,2582.46,15.9,198516
MAINT-00017,TRK-002,2026-04-14,brake service,322.34,4.4,197321
MAINT-00018,TRK-003,2024-10-29,alignment,257.0,4.8,231217
MAINT-00019,TRK-003,2025-12-22,alignment,847.35,1.5,298861
MAINT-00020,TRK-003,2026-05-13,transmission service,1195.48,15.4,330947
MAINT-00021,TRK-003,2025-05-11,oil change,706.19,1.0,256694
MAINT-00022,TRK-003,2025-02-13,alignment,612.47,3.0,240292
MAINT-00023,TRK-003,2025-03-13,oil change,604.74,4.2,243344
MAINT-00024,TRK-003,2026-01-22,engine repair,1416.31,39.0,309713
MAINT-00025,TRK-004,2025-12-13,engine repair,2688.29,38.4,393072
MAINT-00026,TRK-004,2025-03-09,transmission service,1425.56,29.5,344765
MAINT-00027,TRK-004,2026-02-19,engine repair,1430.77,38.3,399046
MAINT-00028,TRK-004,2025-11-25,transmission service,1436.57,13.6,381569
MAINT-00029,TRK-004,2024-08-24,engine repair,2565.01,37.3,329576
MAINT-00030,TRK-004,2025-01-02,brake service,625.05,1.7,344219
MAINT-00031,TRK-005,2025-01-04,alignment,355.08,3.3,400204
MAINT-00032,TRK-005,2024-10-15,coolant system,365.56,6.8,357403
MAINT-00033,TRK-005,2024-11-28,alignment,660.34,6.8,382750
MAINT-00034,TRK-005,2025-01-28,alignment,879.97,3.3,367632
MAINT-00035,TRK-005,2024-12-10,tire replacement,708.5,6.6,375717
