trip_id,load_id,driver_id,truck_id,actual_miles,fuel_gallons,actual_mpg,departure_time,arrival_time,on_time_flag
TRP-000001,LD-000001,DRV-009,TRK-008,75.4,10.99,6.86,2024-07-03 04:05:00,2024-07-03 05:35:56.178690,True
TRP-000002,LD-000002,DRV-005,TRK-004,166.5,22.35,7.45,2024-07-03 06:06:00,2024-07-03 09:30:57.411040,True
TRP-000003,LD-000003,DRV-014,TRK-007,76.6,11.59,6.61,2024-07-03 04:02:00,2024-07-03 05:28:14.694101,True
TRP-000004,LD-000004,DRV-011,TRK-010,261.1,36.77,7.1,2024-07-03 08:46:00,2024-07-03 13:59:34.821042,True
TRP-000005,LD-000005,DRV-010,TRK-008,284.2,42.1,6.75,2024-07-03 09:31:00,2024-07-03 15:04:16.460393,False
TRP-000006,LD-000006,DRV-002,TRK-005,78.4,10.67,7.35,2024-07-04 05:40:00,2024-07-04 07:15:27.289461,True
TRP-000007,LD-000007,DRV-011,TRK-006,275.5,54.23,5.08,2024-07-04 05:29:00,2024-07-04 11:13:11.329984,False
TRP-000008,LD-000008,DRV-009,TRK-008,174.1,24.66,7.06,2024-07-04 07:01:00,2024-07-04 10:34:38.503855,True
TRP-000009,LD-000009,DRV-003,TRK-005,75.6,10.92,6.92,2024-07-04 08:10:00,2024-07-04 09:40:30.118515,True
TRP-000010,LD-000010,DRV-001,TRK-001,170.8,25.68,6.65,2024-07-05 05:00:00,2024-07-05 08:31:00.202196,True
TRP-000011,LD-000011,DRV-010,TRK-009,169.7,23.37,7.26,2024-07-05 07:12:00,2024-07-05 10:40:50.508304,True
TRP-000012,LD-000012,DRV-009,TRK-006,277.3,53.84,5.15,2024-07-05 06:29:00,2024-07-05 12:01:46.218321,False
TRP-000013,LD-000013,DRV-007,TRK-002,173.9,26.43,6.58,2024-07-05 04:24:00,2024-07-05 07:52:10.417194,True
TRP-000014,LD-000014,DRV-001,TRK-008,165.5,23.92,6.92,2024-07-06 08:10:00,2024-07-06 11:34:55.935394,True
