record_id,truck_id,service_date,service_type,cost,downtime_hours,odometer_at_service
MNT-000001,TRK-001,2025-05-28,routine PM service,708.25,16.5,345524
MNT-000002,TRK-001,2025-04-04,routine PM service,1502.56,16.0,59111
MNT-000003,TRK-001,2025-08-07,electrical,1698.11,14.1,293392
MNT-000004,TRK-001,2025-06-28,tire replacement,1647.39,12.5,118097
MNT-000005,TRK-002,2026-05-13,routine PM service,954.4,16.1,453005
MNT-000006,TRK-002,2026-05-23,cooling system,1771.66,23.8,278298
MNT-000007,TRK-002,2025-12-04,cooling system,1719.47,23.4,130358
MNT-000008,TRK-002,2026-05-17,routine PM service,1734.12,12.7,109611
MNT-000009,TRK-002,2026-01-18,tire replacement,1383.93,9.5,409903
MNT-000010,TRK-002,2025-05-05,brake system,1503.52,3.1,297451
MNT-000011,TRK-002,2026-05-05,routine PM service,464.24,12.2,466328
MNT-000012,TRK-002,2025-10-09,tire replacement,293.5,15.5,243081
MNT-000013,TRK-002,2026-06-10,routine PM service,2849.96,19.1,286217
MNT-000014,TRK-003,2024-12-13,electrical,1728.79,5.3,372868
MNT-000015,TRK-003,2025-06-17,routine PM service,3136.91,13.0,434104
MNT-000016,TRK-003,2025-09-07,tire replacement,1279.06,2.1,241441
MNT-000017,TRK-003,2025-10-16,routine PM service,3098.81,21.2,213283
MNT-000018,TRK-003,2026-06-18,routine PM service,1633.09,12.3,153443
MNT-000019,TRK-003,2026-05-23,electrical,2615.28,9.5,295296
MNT-000020,TRK-003,2025-12-04,cooling system,2804.71,11.8,107759
MNT-000021,TRK-003,2025-06-15,tire replacement,1451.32,20.0,212986
MNT-000022,TRK-004,2025-07-09,tire replacement,518.65,4.6,120029
MNT-000023,TRK-004,2024-09-05,electrical,738.14,20.0,418015
MNT-000024,TRK-004,2024-09-17,tire replacement,864.29,19.7,410499
MNT-000025,TRK-004,2026-04-28,tire replacement,702.05,11.7,380481
MNT-000026,TRK-004,2024-10-22,routine PM service,1388.64,19.9,150670
MNT-000027,TRK-005,2024-12-26,brake system,1330.73,4.7,148744
MNT-000028,TRK-005,2025-12-06,routine PM service,2668.53,18.2,199522
MNT-000029,TRK-005,2026-02-04,cooling system,1807.85,22.7,143541
MNT-000030,TRK-005,2024-09-06,routine PM service,2158.93,13.5,262796
MNT-000031,TRK-005,2025-07-31,routine PM service,1803.72,15.3,403149
MNT-000032,TRK-005,2026-01-17,routine PM service,3165.13,13.6,261476
MNT-000033,TRK-005,2026-04-20,brake system,2379.61,16.6,269938
MNT-000034,TRK-005,2025-09-05,engine repair,2416.65,8.8,365761
MNT-000035,TRK-005,2026-05-28,brake system,2450.49,12.1,237330
MNT-000036,TRK-005,2026-05-08,routine PM service,2077.25,6.9,172576
MNT-000037,TRK-006,2026-04-19,brake system,2954.43,18.3,46753
MNT-000038,TRK-006,2024-09-20,electrical,994.24,9.6,66844
MNT-000039,TRK-006,2025-08-18,routine PM service,1182.86,5.8,57166
MNT-000040,TRK-006,2025-09-17,routine PM service,2656.43,7.6,29079
MNT-000041,TRK-006,2025-09-17,brake system,1310.31,8.5,8295
MNT-000042,TRK-006,2025-10-08,routine PM service,1693.59,5.2,27456
MNT-000043,TRK-006,2025-11-24,electrical,3179.77,11.5,92904
MNT-000044,TRK-006,2025-06-27,cooling system,2295.38,10.1,92599
MNT-000045,TRK-007,2026-05-15,electrical,291.06,7.4,66829
MNT-000046,TRK-007,2024-11-11,electrical,2363.96,8.3,126096
MNT-000047,TRK-007,2026-02-02,routine PM service,1943.97,11.3,236082
MNT-000048,TRK-007,2026-06-21,routine PM service,2260.15,13.7,198522
MNT-000049,TRK-007,2024-08-14,routine PM service,3108.95,15.9,315286
MNT-000050,TRK-007,2026-05-12,tire replacement,530.36,3.1,295441
MNT-000051,TRK-008,2024-10-25,cooling system,2636.71,4.1,93324
MNT-000052,TRK-008,2025-01-14,routine PM service,2244.23,10.1,94153
MNT-000053,TRK-008,2026-01-09,brake system,2450.0,23.2,165932
MNT-000054,TRK-008,2025-06-19,tire replacement,2694.96,11.3,114456
MNT-000055,TRK-009,2025-08-31,routine PM service,3162.31,4.2,151233
MNT-000056,TRK-009,2025-06-16,tire replacement,2888.06,5.8,99908
MNT-000057,TRK-009,2025-09-26,electrical,2971.99,6.1,84972
MNT-000058,TRK-009,2025-11-26,routine PM service,581.08,16.2,198004
MNT-000059,TRK-009,2025-03-18,routine PM service,526.68,7.6,198336
MNT-000060,TRK-010,2025-11-21,brake system,1752.5,9.9,244673
MNT-000061,TRK-010,2026-03-17,tire replacement,2410.7,13.2,282241
MNT-000062,TRK-010,2025-11-26,tire replacement,2269.44,12.8,208637
MNT-000063,TRK-010,2025-02-25,routine PM service,640.51,13.1,159249
MNT-000064,TRK-010,2024-08-26,brake system,1066.89,23.0,27145
MNT-000065,TRK-010,2024-09-11,tire replacement,1250.11,5.8,31541
MNT-000066,TRK-010,2026-01-31,electrical,2876.03,8.3,144725
MNT-000067,TRK-010,2025-08-11,cooling system,355.51,2.6,9871
MNT-000068,TRK-010,2025-10-23,routine PM service,1754.41,21.5,267518
MNT-000069,TRK-011,2024-09-05,routine PM service,1777.22,8.0,153599
MNT-000070,TRK-011,2026-01-06,routine PM service,1496.47,21.2,139446
MNT-000071,TRK-011,2026-02-15,engine repair,1938.38,13.3,47322
MNT-000072,TRK-011,2024-08-14,routine PM service,2947.71,16.6,217422
MNT-000073,TRK-011,2025-10-21,tire replacement,3112.22,14.5,62461
MNT-000074,TRK-011,2025-10-19,routine PM service,2871.43,9.0,167957
MNT-000075,TRK-011,2025-01-10,brake system,2344.13,7.2,196554
MNT-000076,TRK-011,2025-07-30,cooling system,2225.92,19.1,127635
MNT-000077,TRK-011,2025-04-23,engine repair,2142.78,2.1,15588
MNT-000078,TRK-012,2026-02-05,electrical,2143.5,10.8,85595
MNT-000079,TRK-012,2025-01-20,brake system,1881.06,20.2,38702
MNT-000080,TRK-012,2025-09-05,cooling system,2212.99,3.2,16879
MNT-000081,TRK-012,2024-10-08,brake system,422.36,14.3,87770
MNT-000082,TRK-013,2025-02-02,routine PM service,2115.2,19.9,25171
MNT-000083,TRK-013,2025-11-29,routine PM service,3199.56,11.3,16999
MNT-000084,TRK-013,2025-09-02,routine PM service,2768.58,8.4,21532
MNT-000085,TRK-013,2024-11-04,brake system,2988.26,5.8,136537
MNT-000086,TRK-013,2025-10-21,tire replacement,2357.02,22.2,92401
MNT-000087,TRK-014,2025-07-17,brake system,2995.59,10.1,343928
MNT-000088,TRK-014,2025-03-28,brake system,3160.25,11.8,232175
MNT-000089,TRK-014,2024-11-26,routine PM service,3071.83,16.9,267861
MNT-000090,TRK-014,2024-09-30,electrical,1728.27,7.8,32264
MNT-000091,TRK-014,2025-03-18,tire replacement,2915.44,5.0,56963
MNT-000092,TRK-014,2025-04-07,tire replacement,2826.53,6.9,383310
MNT-000093,TRK-014,2025-02-26,engine repair,2587.32,12.2,397322
MNT-000094,TRK-014,2024-12-17,routine PM service,2316.76,10.6,53296
MNT-000095,TRK-015,2025-05-14,tire replacement,2494.0,8.8,9456
MNT-000096,TRK-015,2026-04-10,brake system,510.86,18.4,91704
MNT-000097,TRK-015,2025-03-07,engine repair,1094.52,14.2,10927
MNT-000098,TRK-015,2025-12-22,tire replacement,2542.73,20.8,11905
MNT-000099,TRK-015,2024-10-01,brake system,1638.91,9.7,33750
MNT-000100,TRK-015,2024-09-29,electrical,2208.67,11.9,77461
MNT-000101,TRK-016,2025-11-09,routine PM service,1877.42,5.2,130129
MNT-000102,TRK-016,2026-01-14,tire replacement,1414.54,16.4,211493
MNT-000103,TRK-016,2025-05-20,routine PM service,1447.06,5.1,203351
MNT-000104,TRK-016,2024-12-30,routine PM service,507.26,17.3,212530
MNT-000105,TRK-016,2025-02-16,brake system,2200.66,2.1,56375
MNT-000106,TRK-016,2025-07-30,routine PM service,1644.62,22.3,109488
MNT-000107,TRK-016,2024-12-05,routine PM service,872.7,22.9,74187
MNT-000108,TRK-017,2026-05-22,routine PM service,274.08,6.4,196983
MNT-000109,TRK-017,2026-03-03,tire replacement,3145.97,6.3,42116
MNT-000110,TRK-017,2026-03-26,brake system,2149.46,5.7,276163
MNT-000111,TRK-017,2026-06-19,routine PM service,2837.27,20.0,233938
MNT-000112,TRK-018,2026-01-16,routine PM service,1060.67,11.6,279092
MNT-000113,TRK-018,2025-05-13,brake system,1609.24,14.1,244836
MNT-000114,TRK-018,2025-10-05,tire replacement,2234.13,23.6,309261
MNT-000115,TRK-018,2024-09-21,routine PM service,2378.13,4.3,370776
MNT-000116,TRK-018,2026-01-03,routine PM service,2863.75,14.1,236570
MNT-000117,TRK-018,2024-11-03,electrical,576.01,7.5,259247
MNT-000118,TRK-018,2024-08-15,brake system,1366.5,13.6,403097
MNT-000119,TRK-019,2024-10-01,routine PM service,3124.72,6.0,140842
MNT-000120,TRK-019,2025-05-23,routine PM service,1460.24,12.6,255142
MNT-000121,TRK-019,2024-08-11,brake system,2399.86,21.8,159300
MNT-000122,TRK-019,2025-04-09,engine repair,1780.42,11.8,347909
MNT-000123,TRK-019,2024-07-29,tire replacement,2956.79,6.4,384422
MNT-000124,TRK-019,2024-07-08,routine PM service,1403.77,6.5,331513
MNT-000125,TRK-020,2025-07-01,brake system,467.86,16.5,7658
MNT-000126,TRK-020,2025-02-09,tire replacement,2016.86,22.5,22414
MNT-000127,TRK-020,2026-04-10,tire replacement,1844.98,22.5,10881
MNT-000128,TRK-020,2024-11-06,engine repair,3110.37,20.5,85021
MNT-000129,TRK-020,2025-08-04,tire replacement,1468.99,23.1,86785
MNT-000130,TRK-020,2025-09-27,electrical,1132.76,7.8,114679
MNT-000131,TRK-020,2024-08-19,tire replacement,1038.05,23.1,41660
MNT-000132,TRK-020,2024-07-25,electrical,1214.84,13.4,76174
MNT-000133,TRK-020,2025-09-02,routine PM service,823.64,18.4,60800
MNT-000134,TRK-021,2026-05-08,electrical,359.19,8.0,102242
MNT-000135,TRK-021,2026-02-26,brake system,1938.45,18.0,57145
MNT-000136,TRK-021,2025-05-30,brake system,2925.39,17.2,175377
MNT-000137,TRK-021,2025-06-30,routine PM service,2351.82,4.4,127085
MNT-000138,TRK-021,2025-05-22,tire replacement,1757.01,15.4,239591
MNT-000139,TRK-021,2024-09-09,tire replacement,931.95,8.5,111524
MNT-000140,TRK-021,2025-05-18,routine PM service,1863.83,2.7,32371
MNT-000141,TRK-021,2025-10-22,tire replacement,320.68,9.9,15201
MNT-000142,TRK-022,2025-08-01,brake system,2230.48,16.5,91871
MNT-000143,TRK-022,2024-11-20,tire replacement,900.16,14.6,43346
MNT-000144,TRK-022,2024-08-20,brake system,1947.02,10.6,83356
MNT-000145,TRK-022,2025-04-07,brake system,1157.97,7.7,30694
MNT-000146,TRK-022,2025-10-31,routine PM service,1215.52,7.1,58896
MNT-000147,TRK-022,2025-08-01,electrical,2669.86,19.9,218228
MNT-000148,TRK-022,2026-01-08,tire replacement,2001.97,18.6,243839
MNT-000149,TRK-022,2025-06-18,tire replacement,2647.31,4.7,181707
MNT-000150,TRK-023,2024-10-30,tire replacement,485.88,6.3,311015
MNT-000151,TRK-023,2026-04-30,cooling system,1553.9,13.6,157617
MNT-000152,TRK-023,2024-08-19,routine PM service,1789.22,19.3,170070
MNT-000153,TRK-023,2025-06-25,brake system,268.16,21.2,24607
MNT-000154,TRK-023,2024-12-16,routine PM service,2831.85,7.7,331458
MNT-000155,TRK-023,2024-11-19,routine PM service,784.69,4.0,103674
MNT-000156,TRK-023,2025-02-04,routine PM service,468.01,8.6,57131
MNT-000157,TRK-023,2024-10-16,routine PM service,1576.86,7.3,165941
MNT-000158,TRK-024,2025-01-27,engine repair,2264.67,17.6,135618
MNT-000159,TRK-024,2025-03-11,tire replacement,989.06,16.3,210122
MNT-000160,TRK-024,2025-07-30,tire replacement,413.97,17.3,173273
MNT-000161,TRK-024,2024-09-13,tire replacement,1351.55,22.6,51028
MNT-000162,TRK-024,2026-02-23,tire replacement,1882.45,13.7,73600
MNT-000163,TRK-024,2025-04-14,engine repair,388.54,5.2,222367
MNT-000164,TRK-024,2026-03-10,routine PM service,339.82,23.0,134721
MNT-000165,TRK-024,2025-07-07,routine PM service,2430.4,18.4,35887
MNT-000166,TRK-025,2025-01-28,routine PM service,2763.32,10.8,87503
MNT-000167,TRK-025,2025-11-18,tire replacement,2651.25,14.3,209824
MNT-000168,TRK-025,2024-08-02,routine PM service,1193.98,3.6,54581
MNT-000169,TRK-025,2026-01-19,tire replacement,462.14,11.1,33341
MNT-000170,TRK-025,2026-06-17,cooling system,2059.83,3.1,151898
MNT-000171,TRK-025,2025-02-07,tire replacement,1716.83,9.7,178087
MNT-000172,TRK-025,2025-08-03,electrical,1474.69,5.9,4082
MNT-000173,TRK-025,2026-05-17,routine PM service,1282.54,15.6,102048
MNT-000174,TRK-026,2025-05-10,routine PM service,2084.27,10.2,163745
MNT-000175,TRK-026,2025-08-10,tire replacement,2446.06,19.6,291320
MNT-000176,TRK-026,2026-01-01,cooling system,649.56,23.7,22830
MNT-000177,TRK-026,2025-10-02,engine repair,404.71,5.7,114876
MNT-000178,TRK-026,2025-08-11,brake system,1379.99,10.0,144286
MNT-000179,TRK-026,2025-06-11,routine PM service,3106.99,2.4,192877
MNT-000180,TRK-026,2025-01-06,engine repair,751.11,3.0,81115
MNT-000181,TRK-027,2024-09-23,brake system,1762.66,8.8,96714
MNT-000182,TRK-027,2025-08-05,cooling system,1530.83,17.0,237992
MNT-000183,TRK-027,2025-12-09,electrical,1100.47,13.4,261515
MNT-000184,TRK-027,2024-08-04,routine PM service,1217.34,23.7,116567
MNT-000185,TRK-027,2025-04-07,electrical,988.1,8.3,256605
MNT-000186,TRK-027,2026-04-06,routine PM service,1418.11,6.2,228760
MNT-000187,TRK-028,2025-04-02,electrical,868.76,5.6,76077
MNT-000188,TRK-028,2025-12-12,routine PM service,2782.83,8.3,59997
MNT-000189,TRK-028,2026-01-06,tire replacement,1356.17,3.7,132336
MNT-000190,TRK-028,2025-12-14,cooling system,1469.31,6.9,111279
MNT-000191,TRK-028,2025-01-27,cooling system,1635.39,4.5,260686
MNT-000192,TRK-028,2026-02-11,tire replacement,1785.4,20.2,227507
MNT-000193,TRK-028,2026-06-22,electrical,2202.59,11.4,334618
MNT-000194,TRK-028,2026-02-05,tire replacement,523.5,5.7,532
MNT-000195,TRK-029,2024-07-27,routine PM service,1619.95,20.2,141232
MNT-000196,TRK-029,2024-11-26,brake system,2714.48,20.4,130949
MNT-000197,TRK-029,2025-07-02,tire replacement,2724.11,13.1,154029
MNT-000198,TRK-029,2025-06-28,routine PM service,1616.41,15.1,121540
MNT-000199,TRK-029,2024-09-14,engine repair,1696.37,6.9,86585
MNT-000200,TRK-029,2024-08-31,cooling system,2526.07,4.9,27851
MNT-000201,TRK-029,2024-08-16,tire replacement,905.9,14.1,61571
MNT-000202,TRK-030,2026-05-23,cooling system,2159.8,17.9,39047
MNT-000203,TRK-030,2025-10-05,routine PM service,2068.0,9.3,43802
MNT-000204,TRK-030,2025-09-05,routine PM service,1320.48,13.7,121462
MNT-000205,TRK-030,2024-07-25,engine repair,1419.45,14.0,137427
MNT-000206,TRK-030,2025-03-29,electrical,2285.78,3.8,48167
MNT-000207,TRK-030,2025-04-18,brake system,2937.09,16.3,188703
MNT-000208,TRK-031,2026-02-07,brake system,833.83,12.7,61681
MNT-000209,TRK-031,2025-04-14,routine PM service,2170.41,21.5,108341
MNT-000210,TRK-031,2025-06-10,engine repair,1401.42,18.7,274178
MNT-000211,TRK-031,2024-10-24,electrical,3141.55,21.7,345633
MNT-000212,TRK-031,2026-04-17,routine PM service,2209.65,16.7,46651
MNT-000213,TRK-031,2025-07-04,electrical,619.26,17.7,332414
MNT-000214,TRK-031,2025-04-11,tire replacement,1270.59,11.8,319683
MNT-000215,TRK-031,2024-12-07,routine PM service,1917.85,10.8,7636
MNT-000216,TRK-032,2025-09-02,routine PM service,767.07,20.9,341452
MNT-000217,TRK-032,2024-12-02,routine PM service,2979.46,22.8,178082
MNT-000218,TRK-032,2024-12-20,tire replacement,2320.03,16.0,449677
MNT-000219,TRK-032,2025-06-05,routine PM service,505.31,11.7,428439
MNT-000220,TRK-032,2025-11-01,routine PM service,2135.53,8.9,410189
MNT-000221,TRK-032,2025-12-03,tire replacement,896.2,22.3,442562
MNT-000222,TRK-033,2025-01-07,brake system,2831.34,23.4,14118
MNT-000223,TRK-033,2026-02-16,brake system,2958.05,3.4,61913
MNT-000224,TRK-033,2025-11-18,engine repair,1877.37,4.6,23517
MNT-000225,TRK-033,2025-11-19,routine PM service,2881.46,2.2,197298
MNT-000226,TRK-033,2025-12-05,electrical,950.9,4.3,116639
MNT-000227,TRK-033,2025-02-02,tire replacement,856.3,6.3,210642
MNT-000228,TRK-033,2026-04-08,routine PM service,3152.64,22.8,171846
MNT-000229,TRK-034,2024-09-02,routine PM service,539.89,17.6,278043
MNT-000230,TRK-034,2025-08-13,routine PM service,3104.47,8.0,379661
MNT-000231,TRK-034,2025-07-24,routine PM service,3050.03,11.7,212984
MNT-000232,TRK-034,2025-07-31,routine PM service,294.49,17.8,315576
