event_id,load_id,trip_id,facility_type,scheduled_time,actual_time,detention_minutes,on_time
EVT-000001,LOAD-000001,TRIP-000001,shipper,2024-07-23 04:45:00,2024-07-23 04:53:00,6,1
EVT-000002,LOAD-000001,TRIP-000001,consignee,2024-07-23 05:25:38,2024-07-23 05:43:38,10,1
EVT-000003,LOAD-000002,TRIP-000002,shipper,2025-08-13 04:54:00,2025-08-13 05:01:00,2,1
EVT-000004,LOAD-000002,TRIP-000002,consignee,2025-08-13 09:36:59,2025-08-13 09:48:59,4,1
EVT-000005,LOAD-000003,TRIP-000003,shipper,2024-09-16 04:12:00,2024-09-16 04:34:00,16,1
EVT-000006,LOAD-000003,TRIP-000003,consignee,2024-09-16 04:51:43,2024-09-16 04:58:43,10,1
EVT-000007,LOAD-000004,TRIP-000004,shipper,2026-04-30 04:13:00,2026-04-30 05:06:00,48,0
EVT-000008,LOAD-000004,TRIP-000004,consignee,2026-04-30 06:36:51,2026-04-30 07:21:51,40,0
EVT-000009,LOAD-000005,TRIP-000005,shipper,2024-08-06 05:18:00,2024-08-06 05:29:00,13,1
EVT-000010,LOAD-000005,TRIP-000005,consignee,2024-08-06 06:25:28,2024-08-06 06:27:28,3,1
EVT-000011,LOAD-000006,TRIP-000006,shipper,2025-03-21 09:28:00,2025-03-21 10:17:00,46,0
EVT-000012,LOAD-000006,TRIP-000006,consignee,2025-03-21 12:20:19,2025-03-21 12:59:19,42,0
EVT-000013,LOAD-000007,TRIP-000007,shipper,2024-10-26 04:59:00,2024-10-26 05:09:00,10,1
EVT-000014,LOAD-000007,TRIP-000007,consignee,2024-10-26 06:43:07,2024-10-26 07:01:07,15,1
EVT-000015,LOAD-000008,TRIP-000008,shipper,2024-08-14 05:25:00,2024-08-14 05:34:00,3,1
EVT-000016,LOAD-000008,TRIP-000008,consignee,2024-08-14 10:53:32,2024-08-14 11:05:32,5,1
EVT-000017,LOAD-000009,TRIP-000009,shipper,2024-10-30 05:40:00,2024-10-30 05:55:00,9,1
EVT-000018,LOAD-000009,TRIP-000009,consignee,2024-10-30 06:41:10,2024-10-30 06:52:10,9,1
EVT-000019,LOAD-000010,TRIP-000010,shipper,2026-05-06 05:21:00,2026-05-06 05:28:00,9,1
EVT-000020,LOAD-000010,TRIP-000010,consignee,2026-05-06 06:52:28,2026-05-06 07:02:28,13,1
EVT-000021,LOAD-000011,TRIP-000011,shipper,2025-10-15 07:51:00,2025-10-15 08:06:00,7,1
EVT-000022,LOAD-000011,TRIP-000011,consignee,2025-10-15 12:54:44,2025-10-15 13:15:44,20,1
EVT-000023,LOAD-000012,TRIP-000012,shipper,2024-10-10 05:58:00,2024-10-10 06:06:00,9,1
EVT-000024,LOAD-000012,TRIP-000012,consignee,2024-10-10 07:40:08,2024-10-10 07:53:08,10,1
EVT-000025,LOAD-000013,TRIP-000013,shipper,2024-08-26 04:59:00,2024-08-26 05:10:00,8,1
EVT-000026,LOAD-000013,TRIP-000013,consignee,2024-08-26 10:43:59,2024-08-26 10:56:59,8,1
EVT-000027,LOAD-000014,TRIP-000014,shipper,2024-07-28 09:19:00,2024-07-28 09:27:00,9,1
EVT-000028,LOAD-000014,TRIP-000014,consignee,2024-07-28 17:32:51,2024-07-28 17:52:51,21,0
EVT-000029,LOAD-000015,TRIP-000015,shipper,2024-10-09 05:53:00,2024-10-09 06:03:00,11,1
EVT-000030,LOAD-000015,TRIP-000015,consignee,2024-10-09 07:34:36,2024-10-09 07:40:36,7,1
EVT-000031,LOAD-000016,TRIP-000016,shipper,2025-04-27 09:04:00,2025-04-27 09:12:00,8,1
EVT-000032,LOAD-000016,TRIP-000016,consignee,2025-04-27 18:14:55,2025-04-27 18:22:55,7,1
EVT-000033,LOAD-000017,TRIP-000017,shipper,2024-08-26 06:56:00,2024-08-26 07:03:00,9,1
EVT-000034,LOAD-000017,TRIP-000017,consignee,2024-08-26 08:02:52,2024-08-26 08:18:52,13,1
EVT-000035,LOAD-000019,TRIP-000018,shipper,2025-05-08 08:27:00,2025-05-08 08:42:00,13,1
EVT-000036,LOAD-000019,TRIP-000018,consignee,2025-05-08 13:30:48,2025-05-08 13:45:48,17,1
EVT-000037,LOAD-000020,TRIP-000019,shipper,2025-10-14 04:11:00,2025-10-14 05:03:00,47,0
