purchase_id,trip_id,truck_id,driver_id,purchase_date,gallons,price_per_gallon,total_cost,location
FUEL-000001,TRIP-000001,TRK-011,DRV-049,2024-07-23,6.52,3.879,25.29,"Amarillo, TX"
FUEL-000002,TRIP-000002,TRK-007,DRV-008,2025-08-13,19.93,4.134,82.39,"Amarillo, TX"
FUEL-000003,TRIP-000002,TRK-007,DRV-008,2025-08-13,18.75,4.052,75.97,"Oklahoma City, OK"
FUEL-000004,TRIP-000003,TRK-016,DRV-032,2024-09-16,7.44,3.904,29.05,"Amarillo, TX"
FUEL-000005,TRIP-000004,TRK-007,DRV-012,2026-04-30,18.58,4.08,75.81,"Amarillo, TX"
FUEL-000006,TRIP-000005,TRK-023,DRV-007,2024-08-06,7.04,4.029,28.36,"Amarillo, TX"
FUEL-000007,TRIP-000006,TRK-009,DRV-001,2025-03-21,16.43,3.895,63.99,"Amarillo, TX"
FUEL-000008,TRIP-000007,TRK-034,DRV-002,2024-10-26,9.15,3.813,34.89,"Plainview, TX"
FUEL-000009,TRIP-000008,TRK-007,DRV-023,2024-08-14,15.51,3.916,60.74,"Amarillo, TX"
FUEL-000010,TRIP-000008,TRK-007,DRV-023,2024-08-14,17.94,3.911,70.16,"Oklahoma City, OK"
FUEL-000011,TRIP-000009,TRK-009,DRV-034,2024-10-30,7.49,3.858,28.9,"Amarillo, TX"
FUEL-000012,TRIP-000010,TRK-017,DRV-021,2026-05-06,8.95,4.275,38.26,"Plainview, TX"
FUEL-000013,TRIP-000011,TRK-015,DRV-002,2025-10-15,18.94,4.01,75.95,"Amarillo, TX"
FUEL-000014,TRIP-000011,TRK-015,DRV-002,2025-10-15,18.29,4.145,75.81,"Oklahoma City, OK"
FUEL-000015,TRIP-000012,TRK-024,DRV-027,2024-10-10,11.14,3.938,43.87,"Plainview, TX"
FUEL-000016,TRIP-000013,TRK-005,DRV-026,2024-08-26,21.58,3.951,85.26,"Amarillo, TX"
FUEL-000017,TRIP-000013,TRK-005,DRV-026,2024-08-26,21.14,3.849,81.37,"Oklahoma City, OK"
FUEL-000018,TRIP-000014,TRK-013,DRV-028,2024-07-28,28.22,3.966,111.92,"Amarillo, TX"
FUEL-000019,TRIP-000014,TRK-013,DRV-028,2024-07-28,27.66,3.916,108.32,"Denver, CO"
FUEL-000020,TRIP-000015,TRK-012,DRV-051,2024-10-09,10.96,3.918,42.94,"Plainview, TX"
FUEL-000021,TRIP-000016,TRK-037,DRV-035,2025-04-27,33.99,3.948,134.19,"Amarillo, TX"
FUEL-000022,TRIP-000016,TRK-037,DRV-035,2025-04-27,32.03,4.056,129.91,"Denver, CO"
FUEL-000023,TRIP-000017,TRK-025,DRV-023,2024-08-26,8.52,3.948,33.64,"Amarillo, TX"
FUEL-000024,TRIP-000018,TRK-011,DRV-032,2025-05-08,18.34,4.121,75.58,"Amarillo, TX"
FUEL-000025,TRIP-000018,TRK-011,DRV-032,2025-05-08,15.46,4.011,62.01,"Oklahoma City, OK"
FUEL-000026,TRIP-000019,TRK-015,DRV-006,2025-10-14,19.26,4.026,77.54,"Lubbock, TX"
FUEL-000027,TRIP-000019,TRK-015,DRV-006,2025-10-14,20.22,4.047,81.83,"Albuquerque, NM"
FUEL-000028,TRIP-000020,TRK-018,DRV-007,2024-12-21,8.88,3.989,35.42,"Plainview, TX"
FUEL-000029,TRIP-000021,TRK-031,DRV-034,2025-09-25,18.25,4.03,73.55,"Amarillo, TX"
FUEL-000030,TRIP-000021,TRK-031,DRV-034,2025-09-25,19.61,3.867,75.83,"Oklahoma City, OK"
FUEL-000031,TRIP-000022,TRK-027,DRV-012,2025-05-07,16.91,4.055,68.57,"Amarillo, TX"
FUEL-000032,TRIP-000023,TRK-016,DRV-039,2024-07-11,21.48,3.983,85.55,"Amarillo, TX"
FUEL-000033,TRIP-000023,TRK-016,DRV-039,2024-07-11,19.21,3.965,76.17,"Oklahoma City, OK"
FUEL-000034,TRIP-000024,TRK-004,DRV-030,2026-01-20,7.52,4.21,31.66,"Amarillo, TX"
FUEL-000035,TRIP-000025,TRK-037,DRV-040,2024-11-15,6.7,4.15,27.81,"Amarillo, TX"
FUEL-000036,TRIP-000026,TRK-023,DRV-037,2025-03-19,17.09,4.14,70.75,"Amarillo, TX"
FUEL-000037,TRIP-000027,TRK-019,DRV-007,2025-10-16,6.55,4.177,27.36,"Amarillo, TX"
FUEL-000038,TRIP-000028,TRK-019,DRV-032,2026-01-31,7.92,4.139,32.78,"Amarillo, TX"
FUEL-000039,TRIP-000029,TRK-013,DRV-051,2025-08-22,20.52,3.968,81.42,"Oklahoma City, OK"
FUEL-000040,TRIP-000029,TRK-013,DRV-051,2025-08-22,17.39,4.02,69.91,"Amarillo, TX"
FUEL-000041,TRIP-000030,TRK-001,DRV-008,2026-04-18,30.44,4.087,124.41,"Denver, CO"
FUEL-000042,TRIP-000030,TRK-001,DRV-008,2026-04-18,31.6,4.255,134.46,"Amarillo, TX"
FUEL-000043,TRIP-000031,TRK-023,DRV-013,2024-10-09,19.94,3.94,78.56,"Oklahoma City, OK"
FUEL-000044,TRIP-000031,TRK-023,DRV-013,2024-10-09,20.05,3.845,77.09,"Amarillo, TX"
FUEL-000045,TRIP-000032,TRK-013,DRV-028,2025-11-11,26.15,3.998,104.55,"Denver, CO"
FUEL-000046,TRIP-000032,TRK-013,DRV-028,2025-11-11,29.23,4.241,123.96,"Amarillo, TX"
FUEL-000047,TRIP-000033,TRK-033,DRV-030,2026-06-09,19.14,4.17,79.81,"Oklahoma City, OK"
FUEL-000048,TRIP-000033,TRK-033,DRV-030,2026-06-09,19.98,4.247,84.86,"Amarillo, TX"
FUEL-000049,TRIP-000034,TRK-001,DRV-012,2025-05-06,9.71,4.198,40.76,"Plainview, TX"
FUEL-000050,TRIP-000035,TRK-020,DRV-039,2026-03-25,23.14,4.196,97.1,"Lubbock, TX"
FUEL-000051,TRIP-000035,TRK-020,DRV-039,2026-03-25,21.81,4.384,95.62,"Albuquerque, NM"
FUEL-000052,TRIP-000036,TRK-022,DRV-035,2025-08-05,24.2,4.052,98.06,"Lubbock, TX"
FUEL-000053,TRIP-000036,TRK-022,DRV-035,2025-08-05,24.01,3.975,95.44,"Albuquerque, NM"
FUEL-000054,TRIP-000037,TRK-031,DRV-015,2025-04-12,15.94,4.096,65.29,"Oklahoma City, OK"
FUEL-000055,TRIP-000037,TRK-031,DRV-015,2025-04-12,16.53,4.169,68.91,"Amarillo, TX"
FUEL-000056,TRIP-000038,TRK-001,DRV-001,2025-02-07,35.2,3.941,138.72,"Amarillo, TX"
FUEL-000057,TRIP-000038,TRK-001,DRV-001,2025-02-07,38.91,3.747,145.8,"Denver, CO"
FUEL-000058,TRIP-000039,TRK-022,DRV-037,2025-03-15,18.92,4.005,75.77,"Amarillo, TX"
FUEL-000059,TRIP-000040,TRK-036,DRV-049,2026-06-22,19.55,4.408,86.18,"Oklahoma City, OK"
