load_id,customer_id,route_id,load_date,freight_type,weight_lbs,revenue,fuel_surcharge,load_status
LOAD-000001,CUST-005,AMA-HFD-AG,2024-07-23,dry_bulk_ag,35385,158.53,20.86,delivered
LOAD-000002,CUST-001,AMA-OKC-VAN,2025-08-13,refrigerated,30179,581.22,127.11,delivered
LOAD-000003,CUST-003,AMA-HFD-AG,2024-09-16,dry_bulk_ag,35808,155.05,16.32,delivered
LOAD-000004,CUST-002,AMA-LUB-VAN,2026-04-30,refrigerated,29081,332.27,37.52,delivered
LOAD-000005,CUST-003,AMA-HFD-AG,2024-08-06,dry_bulk_ag,36143,155.99,25.04,delivered
LOAD-000006,CUST-002,AMA-LUB-VAN,2025-03-21,refrigerated,30308,330.72,41.7,delivered
LOAD-000007,CUST-003,PLV-AMA-AG,2024-10-26,dry_bulk_ag,42246,198.1,24.82,delivered
LOAD-000008,CUST-001,AMA-OKC-VAN,2024-08-14,refrigerated,28890,633.13,127.89,delivered
LOAD-000009,CUST-003,AMA-HFD-AG,2024-10-30,dry_bulk_ag,29168,153.62,17.14,delivered
LOAD-000010,CUST-003,PLV-AMA-AG,2026-05-06,dry_bulk_ag,35671,189.59,20.88,delivered
LOAD-000011,CUST-006,AMA-OKC-VAN,2025-10-15,dry_van,34315,601.24,75.69,delivered
LOAD-000012,CUST-005,PLV-AMA-AG,2024-10-10,dry_bulk_ag,30050,207.95,26.59,delivered
LOAD-000013,CUST-001,AMA-OKC-VAN,2024-08-26,refrigerated,29840,596.21,94.22,delivered
LOAD-000014,CUST-004,AMA-DEN-REEFER,2024-07-28,refrigerated,38780,949.32,159.84,delivered
LOAD-000015,CUST-003,PLV-AMA-AG,2024-10-09,dry_bulk_ag,37607,191.87,19.18,delivered
LOAD-000016,CUST-004,AMA-DEN-REEFER,2025-04-27,refrigerated,37944,930.64,122.26,delivered
LOAD-000017,CUST-003,AMA-HFD-AG,2024-08-26,dry_bulk_ag,34747,166.29,27.69,delivered
LOAD-000018,CUST-004,AMA-DEN-REEFER,2025-11-23,refrigerated,42392,914.1,203.47,cancelled
LOAD-000019,CUST-006,AMA-OKC-VAN,2025-05-08,dry_van,34288,588.34,88.48,delivered
LOAD-000020,CUST-002,LUB-ABQ-VAN,2025-10-14,refrigerated,31825,682.15,111.9,delivered
LOAD-000021,CUST-005,PLV-AMA-AG,2024-12-21,dry_bulk_ag,40507,197.85,20.06,delivered
LOAD-000022,CUST-006,AMA-OKC-VAN,2025-09-25,dry_van,39446,599.25,82.48,delivered
LOAD-000023,CUST-001,AMA-LUB-VAN,2025-05-07,refrigerated,44469,308.58,55.72,delivered
LOAD-000024,CUST-001,AMA-OKC-VAN,2024-07-11,refrigerated,36846,618.5,118.76,delivered
LOAD-000025,CUST-005,AMA-HFD-AG,2026-01-20,dry_bulk_ag,33923,153.19,23.15,delivered
LOAD-000026,CUST-003,AMA-HFD-AG,2024-11-15,dry_bulk_ag,39225,152.74,27.08,delivered
LOAD-000027,CUST-002,AMA-LUB-VAN,2025-03-19,refrigerated,30066,297.78,53.87,delivered
LOAD-000028,CUST-003,AMA-HFD-AG,2025-10-16,dry_bulk_ag,42066,165.65,21.27,delivered
LOAD-000029,CUST-003,AMA-HFD-AG,2026-01-31,dry_bulk_ag,36689,163.72,16.17,delivered
LOAD-000030,CUST-001,AMA-OKC-BACKHAUL,2025-08-22,refrigerated,36093,488.24,112.75,delivered
LOAD-000031,CUST-004,DEN-AMA-BACKHAUL,2026-04-18,refrigerated,29236,853.67,165.46,delivered
LOAD-000032,CUST-006,AMA-OKC-BACKHAUL,2024-10-09,dry_van,38116,510.96,92.39,delivered
LOAD-000033,CUST-004,DEN-AMA-BACKHAUL,2025-11-11,refrigerated,36471,855.27,138.67,delivered
LOAD-000034,CUST-001,AMA-OKC-BACKHAUL,2026-06-09,refrigerated,41737,509.85,77.78,delivered
LOAD-000035,CUST-005,PLV-AMA-AG,2025-05-06,dry_bulk_ag,30439,203.32,30.33,delivered
LOAD-000036,CUST-002,LUB-ABQ-VAN,2026-03-25,refrigerated,40593,670.22,127.8,delivered
LOAD-000037,CUST-002,LUB-ABQ-VAN,2025-08-05,refrigerated,33294,655.09,147.68,delivered
LOAD-000038,CUST-001,AMA-OKC-BACKHAUL,2025-04-12,refrigerated,37421,469.3,141.98,delivered
LOAD-000039,CUST-004,AMA-DEN-REEFER,2025-02-07,refrigerated,36352,885.57,209.95,delivered
LOAD-000040,CUST-002,AMA-LUB-VAN,2025-03-15,refrigerated,37374,306.08,50.92,delivered
LOAD-000041,CUST-001,AMA-OKC-BACKHAUL,2026-06-22,refrigerated,35356,512.78,109.62,delivered
LOAD-000042,CUST-001,AMA-LUB-VAN,2025-06-18,refrigerated,35422,320.28,42.43,delivered
LOAD-000043,CUST-005,AMA-HFD-AG,2026-03-16,dry_bulk_ag,31017,161.86,17.95,delivered
LOAD-000044,CUST-004,DEN-AMA-BACKHAUL,2025-01-08,refrigerated,38000,884.15,214.27,delivered
LOAD-000045,CUST-001,AMA-OKC-VAN,2026-03-04,refrigerated,32154,647.05,98.92,delivered
LOAD-000046,CUST-001,AMA-OKC-BACKHAUL,2025-11-07,refrigerated,30961,517.26,82.22,delivered
LOAD-000047,CUST-006,AMA-OKC-VAN,2024-09-02,dry_van,40304,584.41,134.94,delivered
LOAD-000048,CUST-002,LUB-ABQ-VAN,2026-02-14,refrigerated,35993,707.86,132.63,delivered
LOAD-000049,CUST-001,AMA-OKC-BACKHAUL,2026-02-16,refrigerated,30659,500.79,78.3,delivered
LOAD-000050,CUST-002,AMA-LUB-VAN,2025-04-26,refrigerated,32342,328.32,58.67,delivered
LOAD-000051,CUST-002,LUB-ABQ-VAN,2025-03-12,refrigerated,40152,653.84,119.28,delivered
LOAD-000052,CUST-001,AMA-LUB-VAN,2026-04-18,refrigerated,32057,318.06,66.79,delivered
LOAD-000053,CUST-001,AMA-OKC-VAN,2025-11-24,refrigerated,31661,634.28,78.3,delivered
LOAD-000054,CUST-005,PLV-AMA-AG,2025-07-24,dry_bulk_ag,32774,199.77,20.2,delivered
LOAD-000055,CUST-004,DEN-AMA-BACKHAUL,2025-12-24,refrigerated,38018,881.4,147.74,delivered
LOAD-000056,CUST-002,AMA-LUB-VAN,2025-01-18,refrigerated,29956,309.65,48.34,delivered
LOAD-000057,CUST-004,AMA-DEN-REEFER,2025-01-21,refrigerated,29905,879.27,122.69,delivered
LOAD-000058,CUST-002,AMA-LUB-VAN,2024-07-14,refrigerated,30056,300.37,43.3,delivered
LOAD-000059,CUST-006,AMA-OKC-VAN,2025-07-03,dry_van,34074,594.57,114.84,delivered
LOAD-000060,CUST-003,AMA-HFD-AG,2026-04-10,dry_bulk_ag,38113,163.16,20.76,delivered
LOAD-000061,CUST-003,AMA-HFD-AG,2024-09-11,dry_bulk_ag,32701,151.84,26.62,delivered
LOAD-000062,CUST-004,DEN-AMA-BACKHAUL,2024-11-05,refrigerated,40365,818.55,123.12,delivered
LOAD-000063,CUST-006,AMA-OKC-BACKHAUL,2025-05-03,dry_van,35581,523.63,127.11,delivered
LOAD-000064,CUST-002,LUB-ABQ-VAN,2026-05-25,refrigerated,42323,641.19,150.24,delivered
LOAD-000065,CUST-001,AMA-LUB-VAN,2026-04-04,refrigerated,31332,309.19,65.44,delivered
LOAD-000066,CUST-004,AMA-DEN-REEFER,2025-11-24,refrigerated,40807,927.72,175.82,delivered
LOAD-000067,CUST-005,PLV-AMA-AG,2026-03-30,dry_bulk_ag,35320,212.11,21.28,delivered
LOAD-000068,CUST-001,AMA-OKC-BACKHAUL,2025-07-24,refrigerated,44944,518.93,89.0,delivered
LOAD-000069,CUST-006,AMA-OKC-VAN,2026-01-24,dry_van,38386,643.97,130.76,delivered
LOAD-000070,CUST-003,PLV-AMA-AG,2024-08-10,dry_bulk_ag,43908,207.9,29.44,delivered
LOAD-000071,CUST-002,LUB-ABQ-VAN,2025-02-14,refrigerated,36512,694.01,97.98,delivered
LOAD-000072,CUST-004,DEN-AMA-BACKHAUL,2025-03-06,refrigerated,35686,825.11,205.2,delivered
LOAD-000073,CUST-006,AMA-OKC-VAN,2024-10-02,dry_van,41153,620.17,102.05,delivered
LOAD-000074,CUST-002,LUB-ABQ-VAN,2025-04-04,refrigerated,28821,695.57,120.13,delivered
LOAD-000075,CUST-004,AMA-DEN-REEFER,2025-12-07,refrigerated,33792,959.25,181.01,delivered
LOAD-000076,CUST-001,AMA-OKC-BACKHAUL,2025-06-11,refrigerated,31755,485.83,82.22,delivered
LOAD-000077,CUST-003,PLV-AMA-AG,2025-01-11,dry_bulk_ag,36953,197.55,28.63,delivered
LOAD-000078,CUST-003,AMA-HFD-AG,2024-10-05,dry_bulk_ag,35166,162.28,17.49,delivered
LOAD-000079,CUST-001,AMA-OKC-BACKHAUL,2024-09-29,refrigerated,29135,525.59,90.57,cancelled
LOAD-000080,CUST-003,AMA-HFD-AG,2026-06-24,dry_bulk_ag,41162,162.87,17.54,delivered
