record_id,truck_id,service_date,service_type,cost,downtime_hours,odometer_at_service
MAINT-000001,TRK-001,2026-05-13,cooling_system_repair,2813.5,13.9,514834
MAINT-000002,TRK-001,2026-04-30,tire_rotation,221.49,2.0,544844
MAINT-000003,TRK-001,2024-08-26,brake_inspection,244.07,1.7,572783
MAINT-000004,TRK-001,2025-04-13,oil_change,370.82,2.6,533434
MAINT-000005,TRK-001,2025-11-02,cooling_system_repair,3048.53,17.0,585081
MAINT-000006,TRK-001,2026-05-26,oil_change,316.41,2.9,526495
MAINT-000007,TRK-002,2026-06-16,cooling_system_repair,1077.57,12.4,480922
MAINT-000008,TRK-002,2025-06-28,tire_rotation,222.61,0.9,369332
MAINT-000009,TRK-002,2024-08-14,brake_inspection,331.71,2.5,392717
MAINT-000010,TRK-002,2026-05-29,brake_inspection,393.22,1.8,454248
MAINT-000011,TRK-002,2025-07-15,pm_service,277.07,1.4,432175
MAINT-000012,TRK-002,2026-06-20,brake_inspection,541.98,2.6,298257
MAINT-000013,TRK-002,2025-11-06,oil_change,440.93,1.2,311864
MAINT-000014,TRK-003,2026-01-11,oil_change,334.45,1.6,344441
MAINT-000015,TRK-003,2025-11-26,pm_service,489.34,2.2,546326
MAINT-000016,TRK-003,2024-12-05,pm_service,410.65,2.0,375801
MAINT-000017,TRK-003,2024-12-31,tire_rotation,513.15,3.4,356815
MAINT-000018,TRK-003,2024-07-13,brake_inspection,233.81,2.3,532362
MAINT-000019,TRK-003,2025-11-12,tire_rotation,283.23,3.7,322404
MAINT-000020,TRK-003,2025-10-19,oil_change,169.27,2.3,496897
MAINT-000021,TRK-003,2024-07-14,pm_service,512.76,2.4,477521
MAINT-000022,TRK-003,2026-05-20,electrical_repair,2773.91,25.0,431890
MAINT-000023,TRK-003,2025-09-15,pm_service,157.77,1.0,326070
MAINT-000024,TRK-003,2025-09-03,brake_inspection,427.26,1.5,401521
MAINT-000025,TRK-004,2026-06-01,oil_change,501.55,2.1,330238
MAINT-000026,TRK-004,2025-02-10,oil_change,337.0,1.0,339542
MAINT-000027,TRK-004,2026-05-10,oil_change,257.05,1.7,446195
MAINT-000028,TRK-004,2026-02-05,dot_inspection,168.69,2.0,445202
MAINT-000029,TRK-004,2025-06-07,pm_service,276.02,3.2,291595
MAINT-000030,TRK-004,2024-09-12,brake_inspection,425.09,2.9,313439
MAINT-000031,TRK-004,2025-02-08,oil_change,263.85,2.3,463898
MAINT-000032,TRK-004,2025-05-21,transmission_repair,1940.93,15.4,292706
MAINT-000033,TRK-005,2026-02-06,oil_change,514.08,1.1,438726
MAINT-000034,TRK-005,2024-07-20,oil_change,377.91,1.0,368994
MAINT-000035,TRK-005,2026-03-26,oil_change,414.86,3.1,513472
MAINT-000036,TRK-005,2024-07-18,oil_change,479.08,2.8,500872
MAINT-000037,TRK-005,2026-06-17,engine_repair,2310.86,28.6,532548
MAINT-000038,TRK-005,2024-08-30,pm_service,512.33,2.0,501908
MAINT-000039,TRK-005,2026-02-05,pm_service,471.35,0.9,552684
MAINT-000040,TRK-005,2024-10-29,engine_repair,3442.8,20.3,504531
MAINT-000041,TRK-005,2026-02-21,oil_change,315.13,2.5,643367
MAINT-000042,TRK-005,2026-02-19,brake_inspection,489.0,3.4,371080
MAINT-000043,TRK-006,2026-04-06,pm_service,303.35,3.5,353927
MAINT-000044,TRK-006,2025-04-10,brake_inspection,157.2,3.3,396444
MAINT-000045,TRK-006,2025-07-03,oil_change,305.69,3.6,363734
MAINT-000046,TRK-006,2025-07-29,brake_inspection,459.56,1.9,322976
MAINT-000047,TRK-006,2024-10-07,engine_repair,2294.05,25.4,297139
MAINT-000048,TRK-006,2025-08-22,transmission_repair,3267.59,9.7,370055
MAINT-000049,TRK-006,2025-01-23,dot_inspection,342.02,1.0,375168
MAINT-000050,TRK-006,2024-09-04,oil_change,338.74,1.7,376289
MAINT-000051,TRK-006,2025-01-11,oil_change,208.15,2.4,234004
MAINT-000052,TRK-007,2025-04-15,electrical_repair,3614.74,22.7,343697
MAINT-000053,TRK-007,2024-10-20,pm_service,418.57,1.3,234617
MAINT-000054,TRK-007,2025-05-08,tire_rotation,405.4,2.6,351918
MAINT-000055,TRK-007,2024-07-15,brake_inspection,297.88,3.2,350745
