trip_id,load_id,driver_id,truck_id,actual_miles,fuel_gallons,actual_mpg,departure_time,arrival_time,on_time_flag
TRIP-000001,LOAD-000001,DRV-049,TRK-011,52.0,7.05,7.38,2024-07-23 04:48:00,2024-07-23 05:52:38,0
TRIP-000002,LOAD-000002,DRV-008,TRK-007,270.4,38.41,7.04,2025-08-13 05:01:00,2025-08-13 09:53:59,1
TRIP-000003,LOAD-000003,DRV-032,TRK-016,53.1,8.42,6.31,2024-09-16 04:18:00,2024-09-16 05:21:43,1
TRIP-000004,LOAD-000004,DRV-012,TRK-007,122.4,17.0,7.2,2026-04-30 04:22:00,2026-04-30 06:36:51,1
TRIP-000005,LOAD-000005,DRV-007,TRK-023,53.2,7.81,6.81,2024-08-06 05:38:00,2024-08-06 06:40:28,1
TRIP-000006,LOAD-000006,DRV-001,TRK-009,125.4,17.42,7.2,2025-03-21 09:53:00,2025-03-21 12:20:19,1
TRIP-000007,LOAD-000007,DRV-002,TRK-034,69.7,10.63,6.56,2024-10-26 05:24:00,2024-10-26 06:50:07,1
TRIP-000008,LOAD-000008,DRV-023,TRK-007,267.2,36.21,7.38,2024-08-14 05:44:00,2024-08-14 11:06:32,1
TRIP-000009,LOAD-000009,DRV-034,TRK-009,51.9,7.19,7.22,2024-10-30 05:43:00,2024-10-30 06:43:10,1
TRIP-000010,LOAD-000010,DRV-021,TRK-017,69.6,9.17,7.59,2026-05-06 05:45:00,2026-05-06 07:00:28,1
TRIP-000011,LOAD-000011,DRV-002,TRK-015,273.0,38.45,7.1,2025-10-15 07:58:00,2025-10-15 13:05:44,1
TRIP-000012,LOAD-000012,DRV-027,TRK-024,71.1,10.43,6.82,2024-10-10 06:28:00,2024-10-10 07:53:08,1
TRIP-000013,LOAD-000013,DRV-026,TRK-005,273.5,39.47,6.93,2024-08-26 05:27:00,2024-08-26 10:53:59,1
TRIP-000014,LOAD-000014,DRV-028,TRK-013,447.0,63.95,6.99,2024-07-28 09:22:00,2024-07-28 17:35:51,1
TRIP-000015,LOAD-000015,DRV-051,TRK-012,67.0,10.32,6.49,2024-10-09 06:14:00,2024-10-09 07:35:36,1
TRIP-000016,LOAD-000016,DRV-035,TRK-037,439.2,67.16,6.54,2025-04-27 09:13:00,2025-04-27 18:14:55,1
TRIP-000017,LOAD-000017,DRV-023,TRK-025,52.9,8.03,6.59,2024-08-26 07:02:00,2024-08-26 08:04:52,1
TRIP-000018,LOAD-000019,DRV-032,TRK-011,262.0,35.17,7.45,2025-05-08 08:28:00,2025-05-08 13:41:48,1
TRIP-000019,LOAD-000020,DRV-006,TRK-015,282.7,44.8,6.31,2025-10-14 04:12:00,2025-10-14 09:42:40,1
TRIP-000020,LOAD-000021,DRV-007,TRK-018,68.8,9.6,7.17,2024-12-21 09:02:00,2024-12-21 10:20:19,1
TRIP-000021,LOAD-000022,DRV-034,TRK-031,269.8,38.11,7.08,2025-09-25 09:08:00,2025-09-25 14:00:36,1
TRIP-000022,LOAD-000023,DRV-012,TRK-027,127.3,19.44,6.55,2025-05-07 08:42:00,2025-05-07 11:20:53,1
TRIP-000023,LOAD-000024,DRV-039,TRK-016,263.4,39.85,6.61,2024-07-11 08:51:00,2024-07-11 13:36:08,1
TRIP-000024,LOAD-000025,DRV-030,TRK-004,52.8,7.43,7.11,2026-01-20 04:42:00,2026-01-20 05:43:38,1
TRIP-000025,LOAD-000026,DRV-040,TRK-037,50.1,6.85,7.31,2024-11-15 07:54:00,2024-11-15 08:48:58,1
TRIP-000026,LOAD-000027,DRV-037,TRK-023,124.3,19.04,6.53,2025-03-19 07:31:00,2025-03-19 09:55:06,1
TRIP-000027,LOAD-000028,DRV-007,TRK-019,52.1,7.62,6.84,2025-10-16 05:37:00,2025-10-16 06:40:34,1
TRIP-000028,LOAD-000029,DRV-032,TRK-019,53.4,7.05,7.57,2026-01-31 08:40:00,2026-01-31 09:38:12,1
TRIP-000029,LOAD-000030,DRV-051,TRK-013,259.7,37.8,6.87,2025-08-22 07:23:00,2025-08-22 12:20:33,1
TRIP-000030,LOAD-000031,DRV-008,TRK-001,430.6,68.24,6.31,2026-04-18 09:15:00,2026-04-18 16:58:00,0
TRIP-000031,LOAD-000032,DRV-013,TRK-023,255.9,39.67,6.45,2024-10-09 07:51:00,2024-10-09 12:46:41,1
TRIP-000032,LOAD-000033,DRV-028,TRK-013,427.9,58.7,7.29,2025-11-11 08:55:00,2025-11-11 16:42:24,1
TRIP-000033,LOAD-000034,DRV-030,TRK-033,272.8,38.15,7.15,2026-06-09 07:26:00,2026-06-09 12:48:30,1
TRIP-000034,LOAD-000035,DRV-012,TRK-001,68.6,9.11,7.53,2025-05-06 07:03:00,2025-05-06 08:27:25,1
TRIP-000035,LOAD-000036,DRV-039,TRK-020,284.1,42.85,6.63,2026-03-25 05:35:00,2026-03-25 11:27:34,1
TRIP-000036,LOAD-000037,DRV-035,TRK-022,284.0,43.83,6.48,2025-08-05 05:13:00,2025-08-05 10:36:10,1
TRIP-000037,LOAD-000038,DRV-015,TRK-031,259.8,35.83,7.25,2025-04-12 07:59:00,2025-04-12 13:04:35,1
TRIP-000038,LOAD-000039,DRV-001,TRK-001,439.0,68.92,6.37,2025-02-07 06:06:00,2025-02-07 14:30:02,1
TRIP-000039,LOAD-000040,DRV-037,TRK-022,126.3,18.55,6.81,2025-03-15 09:39:00,2025-03-15 12:16:51,1
TRIP-000040,LOAD-000041,DRV-049,TRK-036,273.4,42.26,6.47,2026-06-22 07:39:00,2026-06-22 12:36:16,1
TRIP-000041,LOAD-000042,DRV-011,TRK-026,128.8,20.06,6.42,2025-06-18 06:26:00,2025-06-18 08:45:27,1
TRIP-000042,LOAD-000043,DRV-036,TRK-030,53.0,7.6,6.97,2026-03-16 05:29:00,2026-03-16 06:30:09,1
TRIP-000043,LOAD-000044,DRV-013,TRK-004,439.3,59.45,7.39,2025-01-08 05:00:00,2025-01-08 13:04:41,1
TRIP-000044,LOAD-000045,DRV-028,TRK-003,261.5,36.68,7.13,2026-03-04 05:25:00,2026-03-04 10:41:50,1
TRIP-000045,LOAD-000046,DRV-022,TRK-026,266.4,38.0,7.01,2025-11-07 05:54:00,2025-11-07 10:59:23,1
TRIP-000046,LOAD-000047,DRV-002,TRK-001,273.0,37.4,7.3,2024-09-02 07:42:00,2024-09-02 13:01:52,1
TRIP-000047,LOAD-000048,DRV-013,TRK-029,283.2,38.79,7.3,2026-02-14 07:09:00,2026-02-14 12:38:43,1
TRIP-000048,LOAD-000049,DRV-023,TRK-028,268.3,35.77,7.5,2026-02-16 05:53:00,2026-02-16 11:13:22,1
TRIP-000049,LOAD-000050,DRV-027,TRK-037,121.0,16.15,7.49,2025-04-26 06:46:00,2025-04-26 09:14:20,1
TRIP-000050,LOAD-000051,DRV-038,TRK-032,289.8,40.14,7.22,2025-03-12 07:15:00,2025-03-12 12:30:06,0
TRIP-000051,LOAD-000052,DRV-011,TRK-013,121.8,17.63,6.91,2026-04-18 09:39:00,2026-04-18 12:07:43,0
TRIP-000052,LOAD-000053,DRV-002,TRK-003,258.3,37.01,6.98,2025-11-24 08:46:00,2025-11-24 13:43:40,1
TRIP-000053,LOAD-000054,DRV-011,TRK-014,69.4,13.53,5.13,2025-07-24 06:26:00,2025-07-24 07:44:51,0
TRIP-000054,LOAD-000055,DRV-039,TRK-033,430.1,64.97,6.62,2025-12-24 07:48:00,2025-12-24 15:44:34,1
TRIP-000055,LOAD-000056,DRV-012,TRK-019,125.0,17.1,7.31,2025-01-18 06:40:00,2025-01-18 08:55:15,1
TRIP-000056,LOAD-000057,DRV-023,TRK-022,441.3,62.15,7.1,2025-01-21 07:07:00,2025-01-21 16:17:25,1
TRIP-000057,LOAD-000058,DRV-005,TRK-025,121.8,18.85,6.46,2024-07-14 06:35:00,2024-07-14 08:48:18,1
TRIP-000058,LOAD-000059,DRV-021,TRK-033,266.2,41.72,6.38,2025-07-03 09:24:00,2025-07-03 14:15:38,1
TRIP-000059,LOAD-000060,DRV-034,TRK-034,51.0,6.82,7.48,2026-04-10 07:57:00,2026-04-10 08:53:05,0
TRIP-000060,LOAD-000061,DRV-031,TRK-031,51.0,6.92,7.37,2024-09-11 06:53:00,2024-09-11 07:53:20,1
TRIP-000061,LOAD-000062,DRV-001,TRK-011,446.7,67.17,6.65,2024-11-05 09:00:00,2024-11-05 17:41:10,1
