truck_id,make,model,year,status,acquisition_date,current_odometer,fuel_type
TRK-001,Peterbilt,579,2018,active,2024-11-03,650000,diesel
TRK-002,International,LT,2022,retired,2025-03-14,530798,diesel
TRK-003,Peterbilt,389,2021,active,2024-08-27,566827,diesel
TRK-004,Peterbilt,389,2021,active,2025-10-19,491498,diesel
TRK-005,International,LT,2018,active,2026-03-09,650000,diesel
TRK-006,International,LT,2022,active,2024-11-14,408204,diesel
TRK-007,Kenworth,T680,2022,active,2025-11-20,406315,diesel
TRK-008,International,LT,2023,active,2025-11-29,344160,diesel
TRK-009,Peterbilt,579,2023,active,2025-11-24,412001,diesel
TRK-010,International,LT,2023,active,2025-01-19,412890,diesel
TRK-011,International,LT,2017,active,2024-08-29,650000,diesel
TRK-012,Peterbilt,389,2024,active,2025-02-01,233517,diesel
TRK-013,International,LT,2021,active,2025-03-30,504913,diesel
TRK-014,Freightliner,Cascadia,2013,active,2013-09-12,781400,diesel
TRK-015,Peterbilt,579,2020,active,2025-04-29,584045,diesel
TRK-016,International,LT,2016,shop,2025-12-17,650000,diesel
TRK-017,Kenworth,T680,2024,active,2025-12-16,219737,diesel
TRK-018,Peterbilt,389,2016,active,2025-09-16,650000,diesel
TRK-019,Kenworth,T680,2017,active,2025-02-19,650000,diesel
TRK-020,Freightliner,Cascadia,2021,active,2026-04-21,650000,diesel
TRK-021,Peterbilt,579,2016,active,2026-02-09,650000,diesel
TRK-022,Freightliner,Cascadia,2023,active,2025-07-27,384020,diesel
TRK-023,Freightliner,Cascadia,2017,active,2026-05-04,650000,diesel
TRK-024,Kenworth,T680,2020,shop,2026-03-01,650000,diesel
TRK-025,Freightliner,Cascadia,2020,active,2024-10-10,650000,diesel
TRK-026,Peterbilt,579,2024,active,2025-10-04,240116,diesel
TRK-027,Peterbilt,579,2022,active,2025-03-02,497787,diesel
TRK-028,Peterbilt,579,2020,active,2025-05-16,650000,diesel
TRK-029,Kenworth,T680,2020,active,2026-03-09,633007,diesel
TRK-030,Freightliner,Cascadia,2019,active,2025-07-23,650000,diesel
TRK-031,Kenworth,T680,2024,active,2024-12-25,285682,diesel
TRK-032,Freightliner,Cascadia,2019,active,2025-04-19,650000,diesel
TRK-033,Peterbilt,389,2020,active,2024-12-16,600204,diesel
TRK-034,International,LT,2017,active,2026-03-16,650000,diesel
TRK-035,Peterbilt,389,2017,active,2024-08-03,650000,diesel
TRK-036,International,LT,2024,shop,2025-09-09,260741,diesel
TRK-037,Peterbilt,389,2019,active,2024-09-11,650000,diesel
TRK-038,Peterbilt,579,2018,active,2025-11-23,650000,diesel
